故事12: 错爱成瘾_虐心情缘 - 词汇表

序号,词汇,中文释义,出现次数
1,"accelerate","加速",1
2,"active","积极",1
3,"always","总是",2
4,"apologize","道歉",1
5,"applaud","响起掌声",1
6,"arrogant","傲慢",2
7,"ask","问",1
8,"atmosphere","氛围",1
9,"bitter","苦涩",1
10,"bitterness","委屈",1
11,"bloom","绽放",1
12,"break","破碎",1
13,"bridge","跨越",1
14,"build","建立",1
15,"care","关心",1
16,"change","改变",1
17,"cherish","珍惜",4
18,"choice","选择",1
19,"cold","冰冷",2
20,"compensate","弥补",1
21,"compromise","妥协",1
22,"concentrate","集中",1
23,"consider","考虑",1
24,"correct","纠正",1
25,"courage","勇气",1
26,"create","创造",1
27,"critical","关键",1
28,"despair","绝望",1
29,"determine","决心",1
30,"determined","坚定",1
31,"devote","奉献",1
32,"dissolve","融化",1
33,"distance","疏远",1
34,"dominant","霸主",1
35,"dominate","掌控",1
36,"emotion","情感",1
37,"encourage","鼓励",1
38,"endure","忍受",2
39,"equality","平等",1
40,"exhaust","疲惫",1
41,"expect","期望",1
42,"finally","终于",1
43,"firmly","坚定地",1
44,"forgive","原谅",1
45,"frustrate","挫败",1
46,"fulfill","履行",2
47,"gap","鸿沟",1
48,"guilt","愧疚",1
49,"happy","幸福",1
50,"harden","坚冰",1
51,"helpless","无助",1
52,"hesitate","犹豫",1
53,"honest","诚实地",1
54,"hurt","伤害",1
55,"ignore","忽视",1
56,"immediately","立刻",1
57,"improve","改进",1
58,"inevitable","理所当然",1
59,"inspire","启发",1
60,"investigate","调查",1
61,"knock","敲",1
62,"legend","传奇",1
63,"listen","倾听",1
64,"marriage","婚姻",1
65,"mistake","错误",1
66,"mock","嘲笑",1
67,"moved","感动",1
68,"mutual","相互",1
69,"nervous","紧张",1
70,"never","从不",1
71,"oath","誓言",1
72,"pain","痛苦",2
73,"painful","痛苦",1
74,"pale","苍白",1
75,"panicked","恐慌",1
76,"patient","耐心",2
77,"peaceful","宁静",1
78,"plead","恳求",1
79,"pride","骄傲",1
80,"promise","承诺",2
81,"prosperous","繁华",1
82,"protect","保护",1
83,"prove","证明",2
84,"recall","回忆",1
85,"red","泛红",1
86,"reflect","反思",1
87,"regret","悔恨",2
88,"respect","尊重",5
89,"retrieve","找回",1
90,"return","回来",1
91,"rush","匆忙",1
92,"selfish","自私",2
93,"sincere","真诚",4
94,"slowly","慢慢",1
95,"sorrow","悲伤",1
96,"spend","花费",1
97,"stare","注视",1
98,"stubborn","固执",1
99,"successful","成功",1
100,"suffer","煎熬",1
101,"surprised","惊讶",1
102,"sweet","甜蜜",2
103,"tearful","含泪",1
104,"tired","疲惫",1
105,"tolerance","包容",1
106,"torture","折磨",1
107,"transform","转变",1
108,"undo","撤销",1
109,"vanish","消失",1
110,"verdict","裁决",1

统计信息
词汇总数,110个
总出现次数,132次
