故事21: 商海沉浮_女强崛起 - 词汇表

序号,词汇,中文释义,出现次数
1,"accident","偶然",1
2,"achieve","成就",2
3,"active","积极",1
4,"actively","积极地",1
5,"alert","警觉",1
6,"always","总是",2
7,"analyze","分析",1
8,"annual","年度",1
9,"applaud","响起掌声",1
10,"atmosphere","氛围",1
11,"background","背景",1
12,"battle","战役",1
13,"betray","背叛",1
14,"betrayal","背叛行为",1
15,"board","董事会",1
16,"bravely","勇敢地",1
17,"break","破晓",1
18,"breakthrough","突破",1
19,"build","建立",1
20,"calm","冷静",1
21,"calmly","冷静地",1
22,"carefully","仔细地",2
23,"challenge","挑战",2
24,"charm","魅力",1
25,"coffee","咖啡",1
26,"company","公司",1
27,"compete","竞争",1
28,"conference","会议",1
29,"confident","自信",1
30,"confidently","自信地",2
31,"conspiracy","阴谋",1
32,"continue","继续",1
33,"corporation","企业",1
34,"crisis","危机",1
35,"cruelty","残酷",1
36,"dawn","黎明",1
37,"destiny","命运",1
38,"determine","决心",1
39,"devote","奉献",1
40,"discuss","讨论",1
41,"disrupt","打乱",1
42,"drive","驾驶",1
43,"effort","努力",3
44,"elegant","优雅的",1
45,"embrace","拥抱",1
46,"encourage","鼓励",1
47,"establish","建立",1
48,"evidence","证据",1
49,"excited","激动",1
50,"expel","开除",1
51,"experience","经验",1
52,"finally","终于",1
53,"firmly","坚定地",1
54,"fulfill","充实",1
55,"gently","温柔地",1
56,"help","帮助",1
57,"hidden","隐藏的",1
58,"hire","雇佣",1
59,"humbly","谦逊地",1
60,"immediately","立即",1
61,"impressive","令人印象深刻的",1
62,"insight","洞察力",1
63,"inspire","启发",2
64,"intense","激烈",1
65,"mark","标记",1
66,"meaningful","有意义的",1
67,"mentor","导师",1
68,"midnight","午夜",1
69,"miracle","奇迹",1
70,"nervous","紧张",1
71,"never","从不",1
72,"night","夜晚",1
73,"office","办公室",1
74,"opportunity","机会",1
75,"panic","恐慌",1
76,"patient","耐心",1
77,"perfectly","完美地",1
78,"persistence","坚持",1
79,"powerful","强大的",1
80,"prepare","准备",1
81,"problem","问题",1
82,"project","项目",1
83,"promise","承诺",1
84,"proud","自豪",2
85,"quickly","迅速地",1
86,"ready","准备好的",1
87,"reform","改革",1
88,"relief","欣慰",1
89,"report","报告",1
90,"research","研究",1
91,"respect","尊重",1
92,"satisfaction","满足",1
93,"secretary","秘书",1
94,"senior","高级的",1
95,"share","分享",1
96,"shocked","震惊",1
97,"smart","聪明",1
98,"spend","投入",1
99,"strategy","策略",1
100,"struggle","奋斗",1
101,"success","成功",1
102,"suffocate","窒息",1
103,"support","支持",1
104,"system","系统",1
105,"tactic","战术",1
106,"talented","有才能的",1
107,"tense","紧张",1
108,"value","价值",2
109,"weakness","弱点",1
110,"weight","重量",1
111,"wisdom","智慧",1
112,"wonderful","精彩",1

统计信息
词汇总数,112个
总出现次数,122次
