故事56: 穿越王妃_医女当道 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"advantage","优势",1
3,"always","总是",2
4,"analyze","分析",2
5,"ancient","古老",1
6,"apply","应用",1
7,"approve","认可",1
8,"brilliant","才华横溢的",1
9,"calm","平静",1
10,"carefully","仔细地",1
11,"challenge","挑战",1
12,"critical","关键",1
13,"curious","好奇",2
14,"destiny","命运",1
15,"difficult","困难",1
16,"effort","努力",1
17,"encourage","鼓励",1
18,"environment","环境",1
19,"establish","建立",1
20,"excited","激动",1
21,"experience","经历",1
22,"favor","宠爱之人",1
23,"finally","终于",1
24,"identity","身份",1
25,"important","重要",1
26,"legend","传奇",1
27,"luxurious","奢华",1
28,"magnificent","宏伟的",1
29,"medical","医学的",1
30,"nervous","紧张",1
31,"never","从不",1
32,"noble","高尚",1
33,"observe","观察",1
34,"opportunity","机会",2
35,"patient","耐心",1
36,"patiently","耐心地",1
37,"professional","专业的",2
38,"quietly","安静地",1
39,"reputation","声誉",1
40,"respect","尊重",1
41,"share","分享",1
42,"shocked","震惊",1
43,"significant","重要",1
44,"status","地位",1
45,"strategy","策略",1
46,"suspicion","怀疑",1
47,"traditional","传统的",1
48,"trust","信任",1
49,"unique","独特的",1
50,"value","价值",1
51,"wisdom","智慧",1

统计信息
词汇总数,51个
总出现次数,56次
