故事3: 重生之商业女王_重生归来 - 词汇表

序号,词汇,中文释义,出现次数
1,"absorb","吸收",1
2,"accept","接受",1
3,"accumulate","积累",1
4,"achievement","成就",1
5,"acquire","获取",1
6,"advantage","优势",1
7,"ambition","抱负",1
8,"analyze","分析",1
9,"anxiety","焦虑",2
10,"arrangement","安排",1
11,"asset","资产",1
12,"balance","平衡",1
13,"beat","跳动",1
14,"benefit","利益",1
15,"betray","背叛",1
16,"blur","模糊",1
17,"boring","枯燥的",1
18,"brand","品牌",1
19,"business","事业",1
20,"capability","能力",1
21,"capital","资本",1
22,"cautious","警惕",1
23,"challenge","挑战",2
24,"change","改变",1
25,"cherish","珍惜",1
26,"claim","夺取",1
27,"collapse","崩溃",1
28,"compensate","补偿",1
29,"compromise","妥协",1
30,"confidence","信心",2
31,"confuse","迷茫",1
32,"conquer","征服",1
33,"contact","联系",1
34,"contribute","贡献",1
35,"control","掌控",1
36,"coordinate","协调",1
37,"correct","正确的",1
38,"courage","勇气",1
39,"create","创造",1
40,"crisis","危机",1
41,"crown","王冠",1
42,"crucial","关键的",1
43,"curtain","窗帘",1
44,"decision","决定",1
45,"delegate","授权",1
46,"desperate","绝望的",1
47,"destiny","命运",1
48,"determined","坚决的",1
49,"devote","投入",1
50,"difficulty","困难",1
51,"dilemma","困境",1
52,"distinct","明显的",1
53,"dream","梦想",1
54,"drive","推动",1
55,"electronic","电子",1
56,"emerge","浮现",2
57,"emotion","情感",1
58,"empty","空虚的",1
59,"end","结束了",1
60,"energy","精力",1
61,"enhance","提升",1
62,"enterprise","企业",1
63,"entrepreneur","创业者",1
64,"era","时代",1
65,"execute","执行者",1
66,"expand","扩张",2
67,"expect","预期",1
68,"experience","经历",1
69,"fade","流逝",1
70,"fail","失败",1
71,"familiar","熟悉的",1
72,"fluctuate","波动",1
73,"foresight","预见",1
74,"forum","论坛",1
75,"foundation","基础",1
76,"fragment","片段",1
77,"fresh","崭新的",1
78,"fuel","燃料",1
79,"goal","目标",1
80,"gradual","逐渐的",1
81,"graduate","毕业",1
82,"grasp","抓住",2
83,"gratitude","感激",1
84,"grow","增长",1
85,"hesitate","犹豫",2
86,"industry","行业",1
87,"inspire","激励",1
88,"intention","意向",1
89,"interweave","交织",1
90,"invest","投资",1
91,"lead","领导",2
92,"live","活",1
93,"loyalty","忠诚",1
94,"manage","管理",1
95,"mature","成熟的",1
96,"mechanism","机制",1
97,"miracle","奇迹",2
98,"motive","动力",1
99,"negative","负面的",1
100,"network","人脉",1
101,"obstacle","障碍",1
102,"opportunity","机会",2
103,"oppose","反对",1
104,"overcome","克服",1
105,"pain","痛苦",1
106,"partner","合作伙伴",1
107,"passion","激情",2
108,"peak","山峰",1
109,"perceive","察觉",1
110,"persist","坚持",1
111,"photo","照片",1
112,"plan","计划",1
113,"potential","潜力",1
114,"power","力量",1
115,"predict","预测",1
116,"prelude","前奏",1
117,"prepare","准备",1
118,"pressure","压力",2
119,"profit","盈利",1
120,"profound","深刻的",1
121,"pursue","追求",2
122,"quality","质量",1
123,"range","范围",1
124,"realize","意识到",1
125,"rebirth","重生",1
126,"reflection","反思",1
127,"regret","遗憾",1
128,"reject","拒绝",1
129,"reputation","声誉",1
130,"reshape","重塑",1
131,"respond","回应",1
132,"revolution","革命",1
133,"reward","奖励",1
134,"room","房间",1
135,"schedule","日程",1
136,"small","小的",1
137,"solve","解决",1
138,"sorrow","悲哀",1
139,"stagnate","停滞",1
140,"state","状态",1
141,"steal","窃取",1
142,"strategy","策略",2
143,"stress","压力",1
144,"strong","强者",1
145,"struggle","挣扎",3
146,"succeed","成功",1
147,"success","成功",1
148,"suffer","遭受",1
149,"talent","才华",1
150,"team","团队",1
151,"threaten","威胁",1
152,"tragic","悲剧的",1
153,"transform","转型",2
154,"trend","趋势",1
155,"trust","信任",1
156,"value","价值",1
157,"vision","视野",1
158,"vivid","生动的",1
159,"wealth","财富",1
160,"wisdom","智慧",2

统计信息
词汇总数,160个
总出现次数,178次
