故事59: 校园情敌_爱情争夺 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"advantage","优势",1
3,"always","总是",2
4,"ancient","古老",1
5,"anxious","焦虑",1
6,"appreciate","欣赏",1
7,"atmosphere","氛围",2
8,"beautiful","美丽的",2
9,"bloom","绽放",1
10,"blossom","萌芽",1
11,"brave","勇敢",1
12,"classic","经典",1
13,"close","靠近",1
14,"communicate","交流",1
15,"compete","竞争",1
16,"courage","勇气",3
17,"determined","坚定",1
18,"dream","梦想",1
19,"elegant","优雅",1
20,"encourage","鼓励",1
21,"enjoy","享受",1
22,"enthusiastic","热情",1
23,"excited","兴奋",1
24,"finally","终于",1
25,"focused","专注",1
26,"gentle","温柔",1
27,"habit","习惯",1
28,"handsome","英俊",1
29,"imagine","想象",1
30,"infinite","无限",1
31,"legend","传奇",1
32,"level","层次",1
33,"library","图书馆",1
34,"magnificent","宏伟的",1
35,"memory","记忆",1
36,"nervous","紧张",1
37,"never","从不",1
38,"observe","观察",1
39,"opportunity","机会",1
40,"patient","耐心",1
41,"patiently","耐心地",1
42,"peaceful","平静",1
43,"practice","练习",1
44,"precious","珍贵",1
45,"pressure","压力",1
46,"pure","纯真",1
47,"quietly","安静地",1
48,"read","阅读",2
49,"respect","尊重",1
50,"scenery","风景",1
51,"share","分享",1
52,"shy","羞涩",1
53,"sincere","真诚",2
54,"support","支持",1
55,"surprise","惊喜",1
56,"surprised","惊喜",1
57,"time","时光",2
58,"university","大学",1
59,"wait","等待",1
60,"warm","温暖",1
61,"wealthy","富裕",1

统计信息
词汇总数,61个
总出现次数,69次
