故事1: 豪门契约_总裁的替身新娘_契约的开始 - 词汇表

序号,词汇,中文释义,出现次数
1,"abandon","放弃",1
2,"academic","学术的",1
3,"accept","接受",1
4,"accumulate","积累",1
5,"acquaintance","熟人",1
6,"acquire","收购",2
7,"adapt","适应",1
8,"aggressive","激进的",1
9,"alternate","交替",1
10,"alternative","选择",1
11,"ambition","抱负",1
12,"analysis","分析",1
13,"analyze","分析",1
14,"anxiety","焦虑",1
15,"appear","出现",1
16,"appointment","约会",1
17,"appreciate","欣赏",1
18,"arrange","安排",1
19,"articulate","清晰表达的",1
20,"assault","攻击",1
21,"asset","资产",1
22,"assist","协助",1
23,"assume","承担",1
24,"atmosphere","气氛",1
25,"attack","攻击",1
26,"attend","参加",1
27,"attention","关注",1
28,"background","背景",1
29,"bankruptcy","破产",1
30,"bear","承担",1
31,"benefit","利益",1
32,"bold","大胆的",2
33,"breakthrough","突破",1
34,"calm","冷静的",1
35,"candidate","候选者",1
36,"capability","能力",1
37,"capital","资金",1
38,"challenge","挑战",2
39,"challenging","有挑战性的",1
40,"chaotic","混乱的",1
41,"checkpoint","检查点",1
42,"chief","主要的",1
43,"clause","条款",1
44,"coincide","巧合",1
45,"collaborate","合作",1
46,"collapse","崩溃",1
47,"collect","收集",1
48,"complete","完成",1
49,"complex","复杂的",1
50,"complicated","复杂的",1
51,"compose","镇静",1
52,"compromise","妥协",1
53,"conceal","掩盖",1
54,"conclude","得出结论",1
55,"condition","状况",1
56,"confidence","自信",1
57,"consult","咨询",1
58,"contain","包含",1
59,"control","控制",1
60,"cooperation","合作",1
61,"coordinate","协调",1
62,"crisis","危机",1
63,"critical","关键的",1
64,"curiosity","好奇",1
65,"curious","好奇的",1
66,"dedicate","奉献",1
67,"deliberate","深思熟虑的",1
68,"demonstrate","展示",2
69,"dense","密集的",1
70,"design","设计",1
71,"destiny","命运",1
72,"detail","细节",1
73,"determine","决定",1
74,"determined","坚决的",1
75,"diligent","勤奋的",1
76,"draft","草案",1
77,"duty","职责",1
78,"elaborate","详细说明",1
79,"eldest","最年长的",1
80,"elegant","优雅的",1
81,"embody","体现",1
82,"emerge","出现",1
83,"emphasize","强调",1
84,"enormous","巨大的",2
85,"equal","平等的",1
86,"evaluate","评价",1
87,"expand","扩张",3
88,"expectation","期望",2
89,"experienced","有经验的",1
90,"extend","伸出",1
91,"extraordinary","非凡的",1
92,"familiarize","熟悉",1
93,"feedback","反馈",1
94,"financial","财政的",1
95,"formal","正式的",1
96,"fragile","脆弱的",1
97,"fulfill","履行",1
98,"fundamental","基本的",1
99,"gamble","赌注",1
100,"gentle","柔和的",1
101,"grasp","抓住",1
102,"guarantee","保障",1
103,"hesitate","犹豫",1
104,"hidden","隐藏的",1
105,"home","回家",1
106,"hospitalize","住院",1
107,"identify","确定",1
108,"ignore","忽略",1
109,"important","重要的",1
110,"impression","印象",1
111,"indifferent","冷漠的",1
112,"inject","注入",1
113,"innovation","创新",1
114,"insightful","有洞察力的",1
115,"intense","激烈的",1
116,"interrupt","打断",1
117,"invest","投资",1
118,"involve","包含",1
119,"launch","发起",1
120,"leisure","悠闲",1
121,"leverage","筹码",1
122,"loan","贷款",1
123,"logic","逻辑",1
124,"logical","逻辑的",1
125,"luxury","豪华的",1
126,"magnificent","宏伟的",1
127,"manage","设法",1
128,"manager","经理",1
129,"modify","修改",1
130,"motivate","激励",1
131,"navigate","导航",1
132,"nervous","紧张的",1
133,"numerous","众多的",1
134,"obey","服从",1
135,"obligation","义务",1
136,"obstacle","障碍",1
137,"obtain","获得",1
138,"occasion","场合",1
139,"organize","组织",1
140,"outline","概述",1
141,"overcome","克服",1
142,"panorama","全景",1
143,"partner","合作伙伴",2
144,"partnership","合作关系",1
145,"passion","热情",1
146,"payment","付款",1
147,"penalty","惩罚",1
148,"performance","表现",2
149,"perspective","视角",1
150,"possess","拥有",1
151,"potential","潜力",2
152,"practical","实践的",1
153,"praise","赞扬",1
154,"precarious","不稳定的",1
155,"precise","准确的",1
156,"prepare","准备",2
157,"presence","出席",1
158,"present","呈现",1
159,"presentation","陈述",1
160,"pressure","施压",1
161,"private","私人的",1
162,"professional","专业的",1
163,"prominent","杰出的",1
164,"promising","有希望的",1
165,"prosperous","繁荣的",1
166,"provision","规定",1
167,"quality","素质",1
168,"rare","难得",1
169,"reasonable","合理的",1
170,"recognize","认可",1
171,"recover","恢复",1
172,"redeem","赎回",1
173,"reliable","可靠的",1
174,"remarkable","非凡的",1
175,"repay","偿还",1
176,"research","研究",1
177,"resolve","解决",1
178,"resource","资源",1
179,"respect","尊重",1
180,"responsibility","责任",1
181,"resume","恢复",1
182,"review","复习",2
183,"rigorous","严谨的",1
184,"rumor","传言",1
185,"ruthless","无情的",1
186,"scan","浏览",1
187,"senior","高级的",1
188,"share","股份",1
189,"sharp","锐利的",1
190,"significant","重要的",1
191,"situation","局势",1
192,"skyscraper","摩天大楼",1
193,"solid","坚实的",1
194,"solution","解决方案",1
195,"spectacular","壮观的",1
196,"steep","陡峭的",1
197,"strategy","策略",1
198,"stroke","中风",1
199,"style","风格",1
200,"support","支持",1
201,"surprise","惊讶",1
202,"suspect","怀疑",1
203,"suspend","暂停",1
204,"suspicion","怀疑",1
205,"talent","才能",1
206,"taste","品味",1
207,"teamwork","团队精神",1
208,"thorough","彻底的",1
209,"transaction","交易",1
210,"treatment","治疗",1
211,"trend","趋势",1
212,"turbulence","动荡",1
213,"urgent","紧急的",1
214,"value","价值",1
215,"veteran","老手",1
216,"visit","拜访",1
217,"vulnerable","脆弱的",1
218,"work","工作",1

统计信息
词汇总数,218个
总出现次数,231次
