故事26: 医妃当道_医女逆袭 - 词汇表

序号,词汇,中文释义,出现次数
1,"accident","意外",1
2,"achieve","成就",1
3,"active","积极",2
4,"adapt","适应",1
5,"always","总是",2
6,"analyze","分析",1
7,"ancient","古代",1
8,"arrange","整理",1
9,"attention","注意",1
10,"attitude","态度",1
11,"boldly","大胆",1
12,"build","建立",2
13,"busy","忙碌",1
14,"calm","冷静",1
15,"careful","小心",3
16,"case","病例",1
17,"challenge","挑战",1
18,"complex","复杂",1
19,"confident","自信",1
20,"conquer","克服",1
21,"conspiracy","阴谋",1
22,"courage","勇气",1
23,"crisis","危机",1
24,"dangerous","危险",1
25,"deliberately","故意",1
26,"detail","详细",1
27,"determination","决心",1
28,"determine","决心",1
29,"devote","奉献",1
30,"diagnose","诊断",1
31,"difficult","困难",1
32,"doctor","医生",1
33,"encourage","鼓励",1
34,"establish","创立",1
35,"excellent","优秀",2
36,"excited","激动",1
37,"faith","信念",1
38,"fame","名声",1
39,"fate","命运",1
40,"finally","终于",1
41,"firmly","坚定地",1
42,"focus","专注",1
43,"generation","一代",1
44,"gentle","温和",1
45,"grow","增长",1
46,"healthy","健康",1
47,"help","帮助",2
48,"impress","印象深刻",1
49,"independent","独立",1
50,"inherit","传承",1
51,"inspire","启发",1
52,"invite","邀请",1
53,"jealous","嫉妒",1
54,"kindness","善良",1
55,"kingdom","王国",1
56,"knowledge","知识",1
57,"method","方法",1
58,"mission","使命",1
59,"morning","清晨",1
60,"nervous","紧张",1
61,"never","从不",1
62,"news","消息",1
63,"observe","观察",2
64,"patient","病人",3
65,"personally","亲自",1
66,"persuade","说服",1
67,"politics","政治",1
68,"power","力量",1
69,"prepare","准备",1
70,"pressure","压力",1
71,"principle","原则",1
72,"process","过程",1
73,"professional","专业",1
74,"promise","承诺",1
75,"proud","自豪",1
76,"question","质疑",1
77,"receive","收到",1
78,"recognize","认可",1
79,"record","记录",1
80,"respect","尊重",1
81,"responsibility","责任",1
82,"review","检查",1
83,"reward","回报",1
84,"save","拯救",1
85,"serious","认真",1
86,"shine","闪耀",1
87,"skill","技能",1
88,"solve","解决",1
89,"spend","投入",1
90,"spread","传播",1
91,"steady","稳健",1
92,"stick","坚持",1
93,"story","故事",1
94,"strength","实力",1
95,"study","研究",1
96,"success","成功",1
97,"survive","生存",1
98,"suspicion","怀疑",1
99,"symptom","症状",1
100,"teach","教授",1
101,"treat","治疗",1
102,"wisdom","智慧",1
103,"worried","担忧",1

统计信息
词汇总数,103个
总出现次数,113次
