故事15: 假戏真做_契约情缘 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",1
3,"anxious","焦急",1
4,"applaud","响起掌声",1
5,"arrangement","安排",1
6,"awkward","尴尬",1
7,"blossom","萌芽",1
8,"boundary","界限",2
9,"brief","简短",1
10,"build","建立",1
11,"business","交易",1
12,"careful","仔细",1
13,"clear","清晰",1
14,"close","靠近",1
15,"complicate","复杂",1
16,"confuse","困惑",1
17,"contradict","矛盾",1
18,"control","控制",1
19,"create","创造",2
20,"danger","危险",2
21,"define","定义",1
22,"determine","决心",1
23,"devote","奉献",1
24,"difficult","困难",1
25,"discover","发现",1
26,"elegant","优雅",1
27,"emotion","情感",1
28,"encourage","鼓励",1
29,"fear","恐惧",1
30,"feeling","感觉",1
31,"finally","终于",1
32,"firmly","坚定地",1
33,"fulfill","充实",1
34,"generous","丰厚",1
35,"gentle","温柔",1
36,"happily","幸福地",1
37,"happy","开心",2
38,"harass","骚扰",1
39,"hug","拥抱",1
40,"hurt","伤害",1
41,"impression","印象",1
42,"inspire","启发",1
43,"invisible","无形",1
44,"legend","传奇",1
45,"logic","逻辑",1
46,"luxurious","豪华",1
47,"maintain","保持",1
48,"manner","风度",1
49,"moment","时刻",1
50,"moved","感动",2
51,"nervous","紧张",2
52,"observe","观察",1
53,"organize","整理",1
54,"panic","恐慌",1
55,"patient","耐心",1
56,"promise","承诺",2
57,"rational","理智",1
58,"rationality","理智",1
59,"real","真实",1
60,"remind","提醒",1
61,"respect","尊重",1
62,"responsibility","责任",1
63,"rule","规则",1
64,"share","分享",1
65,"sign","签署",1
66,"simple","简单",1
67,"spacious","宽敞",1
68,"spend","花费",1
69,"stage","阶段",1
70,"strict","严格",1
71,"successful","成功",1
72,"support","支持",1
73,"surprise","惊讶",1
74,"surprised","惊讶",1
75,"sweet","甜蜜",1
76,"tempting","诱人",1
77,"tender","柔软",1
78,"terminate","终止",1
79,"touched","感动",1
80,"try","尝试",1
81,"worry","担心",1

统计信息
词汇总数,81个
总出现次数,88次
