故事89: 青春恋曲_校园时光 - 词汇表

序号,词汇,中文释义,出现次数
1,"achieve","成就",1
2,"active","积极",1
3,"advantage","优势",1
4,"always","总是",2
5,"attitude","心态",1
6,"beautiful","美丽",1
7,"begin","开始",1
8,"believe","相信",1
9,"breakthrough","突破",1
10,"challenge","挑战",1
11,"choose","选择",1
12,"confidence","自信",1
13,"continue","继续",1
14,"curious","好奇",1
15,"difficulty","难题",1
16,"dream","梦想",1
17,"encourage","鼓励",1
18,"enjoy","享受",1
19,"enthusiastic","热情",1
20,"excited","兴奋",3
21,"expectation","期待",2
22,"explore","探索",1
23,"final","最终",1
24,"finally","终于",1
25,"honest","诚实",1
26,"humbly","谦逊地",1
27,"inspire","启发",1
28,"luxuriant","茂盛",1
29,"mark","标记",1
30,"nervous","紧张",2
31,"never","从不",1
32,"observe","观察",1
33,"patient","耐心",1
34,"perfectly","结束",1
35,"practice","练习",1
36,"prepare","准备",2
37,"proud","自豪",1
38,"relief","欣慰",1
39,"satisfaction","满足",1
40,"sincere","真诚",2
41,"spend","花费",1
42,"successful","成功",1
43,"thirst","渴望",1
44,"try","尝试",1
45,"vibrant","生机勃勃",1
46,"walk","漫步",1

统计信息
词汇总数,46个
总出现次数,53次
