故事51: 重生复仇_千金归来 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",2
3,"analyze","分析",1
4,"approach","接近",1
5,"betray","背叛",1
6,"brave","勇敢",1
7,"breakthrough","突破口",1
8,"calm","平静",1
9,"calmly","平静地",1
10,"careful","小心",2
11,"carefully","仔细地",1
12,"charitable","慈善的",1
13,"cleverly","聪明地",1
14,"collect","收集",1
15,"complete","完成",1
16,"confident","自信",1
17,"continue","继续",1
18,"courage","勇气",1
19,"cruel","残酷",1
20,"cruelly","残忍地",1
21,"danger","危险",1
22,"death","死亡",1
23,"difficulty","困难",1
24,"disguise","伪装",1
25,"encourage","鼓励",1
26,"evidence","证据",2
27,"excited","激动",1
28,"extraordinary","格外",1
29,"extremely","极其",1
30,"finally","终于",1
31,"first","第一",1
32,"flame","火焰",1
33,"gradually","逐渐地",1
34,"help","帮助",2
35,"huge","庞大",1
36,"hypocritical","虚伪的",1
37,"identity","身份",1
38,"inspire","启发",1
39,"justice","正义",1
40,"luxurious","奢华的",2
41,"major","主要的",1
42,"mark","标记",1
43,"miraculously","奇迹般地",1
44,"nervous","紧张",1
45,"never","从不",1
46,"painfully","痛苦地",1
47,"patience","耐心",2
48,"patient","耐心",1
49,"patiently","耐心地",1
50,"plan","计划",1
51,"price","代价",1
52,"proud","自豪",1
53,"punish","惩罚",1
54,"purpose","目的",1
55,"rational","理性",1
56,"recall","回忆",1
57,"relief","释然",1
58,"respect","尊重",1
59,"responsibility","责任",1
60,"reveal","揭露",1
61,"scheme","阴谋",1
62,"secret","暗中",1
63,"share","分享",1
64,"sharp","锋利的",1
65,"shocking","令人震惊的",1
66,"significant","重要的",1
67,"smart","聪明",1
68,"smoothly","顺利",1
69,"spacious","宽敞的",1
70,"spend","花费",1
71,"status","地位",1
72,"strategy","策略",2
73,"subtle","巧妙的",1
74,"successful","成功",1
75,"tragic","悲惨的",1
76,"trust","信任",1
77,"value","价值",1
78,"vicious","恶毒的",1
79,"wait","等待",1
80,"wealth","财富",1
81,"wisdom","智慧",4
82,"worried","担忧",1

统计信息
词汇总数,82个
总出现次数,92次
