序号,单词,音标,词性,中文
1,spectacular,/spectacular/,adj.,壮观的
2,magnificent,/magnificent/,adj.,宏伟的
3,crisis,/crisis/,v./n.,危机
4,chaotic,/chaotic/,adj.,混乱的
5,attack,/attack/,v./n.,攻击
6,prosperous,/prosperous/,adj.,繁荣的
7,bankruptcy,/bankruptcy/,v./n.,破产
8,collapse,/collapse/,v./n.,崩溃
9,veteran,/veteran/,v./n.,老手
10,dedicate,/dedicate/,v.,奉献
11,stroke,/stroke/,v./n.,中风
12,hospitalize,/hospitalize/,v.,住院
13,condition,/condition/,n.,状况
14,treatment,/treatment/,n.,治疗
15,recover,/recover/,v./n.,恢复
16,resume,/resume/,v./n.,恢复
17,situation,/situation/,n.,局势
18,fragile,/fragile/,adj.,脆弱的
19,grasp,/grasp/,v./n.,抓住
20,assault,/assault/,v./n.,攻击
21,launch,/launch/,v./n.,发起
22,aggressive,/aggressive/,adj.,激进的
23,strategy,/strategy/,v./n.,策略
24,acquire,/acquire/,v./n.,收购
25,asset,/asset/,v./n.,资产
26,pressure,/pressure/,v./n.,施压
27,repay,/repay/,v./n.,偿还
28,loan,/loan/,v./n.,贷款
29,suspend,/suspend/,v./n.,暂停
30,payment,/payment/,n.,付款
31,turbulence,/turbulence/,n.,动荡
32,eldest,/eldest/,adj.,最年长的
33,obtain,/obtain/,v./n.,获得
34,academic,/academic/,adj.,学术的
35,practical,/practical/,adj.,实践的
36,urgent,/urgent/,adj.,紧急的
37,abandon,/abandon/,v./n.,放弃
38,leisure,/leisure/,v./n.,悠闲
39,assume,/assume/,v./n.,承担
40,responsibility,/responsibility/,n.,责任
41,consult,/consult/,v./n.,咨询
42,solution,/solution/,n.,解决方案
43,thorough,/thorough/,adj.,彻底的
44,conclude,/conclude/,v./n.,得出结论
45,resource,/resource/,v./n.,资源
46,overcome,/overcome/,v./n.,克服
47,obstacle,/obstacle/,v./n.,障碍
48,partner,/partner/,v./n.,合作伙伴
49,capital,/capital/,adj.,资金
50,support,/support/,v./n.,支持
51,numerous,/numerous/,adj.,众多的
52,promising,/promising/,adj.,有希望的
53,candidate,/candidate/,v.,候选者
54,chief,/chief/,adj.,主要的
55,prominent,/prominent/,adj.,杰出的
56,accumulate,/accumulate/,v.,积累
57,enormous,/enormous/,adj.,巨大的
58,possess,/possess/,v./n.,拥有
59,extraordinary,/extraordinary/,adj.,非凡的
60,talent,/talent/,v./n.,才能
61,accept,/accept/,v./n.,接受
62,cooperation,/cooperation/,n.,合作
63,rumor,/rumor/,v./n.,传言
64,ruthless,/ruthless/,adj.,无情的
65,compromise,/compromise/,v./n.,妥协
66,critical,/critical/,adj.,关键的
67,bold,/bold/,adj.,大胆的
68,gamble,/gamble/,v./n.,赌注
69,alternative,/alternative/,adj.,选择
70,acquaintance,/acquaintance/,n.,熟人
71,arrange,/arrange/,v./n.,安排
72,appointment,/appointment/,n.,约会
73,prepare,/prepare/,v./n.,准备
74,review,/review/,v./n.,复习
75,familiarize,/familiarize/,v.,熟悉
76,style,/style/,v./n.,风格
77,identify,/identify/,v.,确定
78,leverage,/leverage/,v./n.,筹码
79,determine,/determine/,v./n.,决定
80,destiny,/destiny/,v./n.,命运
81,luxury,/luxury/,adj.,豪华的
82,skyscraper,/skyscraper/,v./n.,摩天大楼
83,design,/design/,v./n.,设计
84,embody,/embody/,v./n.,体现
85,rigorous,/rigorous/,adj.,严谨的
86,elegant,/elegant/,adj.,优雅的
87,taste,/taste/,v./n.,品味
88,deliberate,/deliberate/,v.,深思熟虑的
89,conceal,/conceal/,adj.,掩盖
90,anxiety,/anxiety/,v./n.,焦虑
91,calm,/calm/,adj.,冷静的
92,confidence,/confidence/,n.,自信
93,panorama,/panorama/,v./n.,全景
94,sharp,/sharp/,adj.,锐利的
95,suspicion,/suspicion/,v./n.,怀疑
96,curiosity,/curiosity/,n.,好奇
97,curious,/curious/,adj.,好奇的
98,invest,/invest/,v./n.,投资
99,compose,/compose/,v./n.,镇静
100,presentation,/presentation/,n.,陈述
101,precise,/precise/,adj.,准确的
102,logical,/logical/,adj.,逻辑的
103,demonstrate,/demonstrate/,v.,展示
104,potential,/potential/,adj.,潜力
105,value,/value/,v./n.,价值
106,innovation,/innovation/,n.,创新
107,breakthrough,/breakthrough/,v./n.,突破
108,expand,/expand/,v./n.,扩张
109,interrupt,/interrupt/,v./n.,打断
110,articulate,/articulate/,v.,清晰表达的
111,ignore,/ignore/,v./n.,忽略
112,fundamental,/fundamental/,adj.,基本的
113,financial,/financial/,adj.,财政的
114,precarious,/precarious/,adj.,不稳定的
115,involve,/involve/,v./n.,包含
116,transaction,/transaction/,n.,交易
117,bear,/bear/,v./n.,承担
118,elaborate,/elaborate/,v.,详细说明
119,inject,/inject/,v./n.,注入
120,share,/share/,v./n.,股份
121,obey,/obey/,v./n.,服从
122,redeem,/redeem/,v./n.,赎回
123,contain,/contain/,v./n.,包含
124,reliable,/reliable/,adj.,可靠的
125,assist,/assist/,v./n.,协助
126,background,/background/,v./n.,背景
127,formal,/formal/,adj.,正式的
128,draft,/draft/,v./n.,草案
129,scan,/scan/,v./n.,浏览
130,clause,/clause/,v./n.,条款
131,complicated,/complicated/,adj.,复杂的
132,analyze,/analyze/,v./n.,分析
133,obligation,/obligation/,n.,义务
134,penalty,/penalty/,v./n.,惩罚
135,provision,/provision/,n.,规定
136,control,/control/,v./n.,控制
137,reasonable,/reasonable/,adj.,合理的
138,modify,/modify/,v.,修改
139,emphasize,/emphasize/,v.,强调
140,equal,/equal/,adj.,平等的
141,partnership,/partnership/,v./n.,合作关系
142,hesitate,/hesitate/,v.,犹豫
143,vulnerable,/vulnerable/,adj.,脆弱的
144,remarkable,/remarkable/,adj.,非凡的
145,perspective,/perspective/,adj.,视角
146,evaluate,/evaluate/,v.,评价
147,intense,/intense/,adj.,激烈的
148,benefit,/benefit/,v./n.,利益
149,guarantee,/guarantee/,v./n.,保障
150,respect,/respect/,v./n.,尊重
151,impression,/impression/,n.,印象
152,work,/work/,v./n.,工作
153,senior,/senior/,adj.,高级的
154,manager,/manager/,v./n.,经理
155,research,/research/,v./n.,研究
156,challenging,/challenging/,adj.,有挑战性的
157,adapt,/adapt/,v./n.,适应
158,determined,/determined/,adj.,坚决的
159,diligent,/diligent/,adj.,勤奋的
160,detail,/detail/,v./n.,细节
161,trend,/trend/,v./n.,趋势
162,visit,/visit/,v./n.,拜访
163,collect,/collect/,v./n.,收集
164,feedback,/feedback/,v./n.,反馈
165,recognize,/recognize/,v.,认可
166,experienced,/experienced/,adj.,有经验的
167,performance,/performance/,n.,表现
168,surprise,/surprise/,v./n.,惊讶
169,capability,/capability/,n.,能力
170,expectation,/expectation/,n.,期望
171,private,/private/,v.,私人的
172,passion,/passion/,n.,热情
173,indifferent,/indifferent/,adj.,冷漠的
174,attention,/attention/,n.,关注
175,insightful,/insightful/,adj.,有洞察力的
176,analysis,/analysis/,v./n.,分析
177,solid,/solid/,adj.,坚实的
178,logic,/logic/,v./n.,逻辑
179,organize,/organize/,v.,组织
180,attend,/attend/,v./n.,参加
181,manage,/manage/,v./n.,设法
182,appear,/appear/,v./n.,出现
183,presence,/presence/,n.,出席
184,occasion,/occasion/,n.,场合
185,coincide,/coincide/,v./n.,巧合
186,complete,/complete/,v./n.,完成
187,collaborate,/collaborate/,v.,合作
188,challenge,/challenge/,v./n.,挑战
189,dense,/dense/,adj.,密集的
190,hidden,/hidden/,adj.,隐藏的
191,checkpoint,/checkpoint/,v./n.,检查点
192,coordinate,/coordinate/,v.,协调
193,professional,/professional/,adj.,专业的
194,quality,/quality/,n.,素质
195,navigate,/navigate/,v.,导航
196,motivate,/motivate/,v.,激励
197,resolve,/resolve/,v./n.,解决
198,steep,/steep/,adj.,陡峭的
199,extend,/extend/,v./n.,伸出
200,suspect,/suspect/,v./n.,怀疑
201,home,/home/,v./n.,回家
202,gentle,/gentle/,adj.,柔和的
203,alternate,/alternate/,v.,交替
204,atmosphere,/atmosphere/,v./n.,气氛
205,rare,/rare/,v./n.,难得
206,praise,/praise/,v./n.,赞扬
207,appreciate,/appreciate/,v.,欣赏
208,teamwork,/teamwork/,v./n.,团队精神
209,fulfill,/fulfill/,v./n.,履行
210,duty,/duty/,v./n.,职责
211,important,/important/,adj.,重要的
212,present,/present/,v./n.,呈现
213,nervous,/nervous/,adj.,紧张的
214,significant,/significant/,adj.,重要的
215,complex,/complex/,adj.,复杂的
216,ambition,/ambition/,n.,抱负
217,outline,/outline/,v./n.,概述
218,emerge,/emerge/,v./n.,出现
219,annual,/annual/,adj.,年度的
220,crucial,/crucial/,adj.,至关重要的
221,summit,/summit/,v./n.,峰会
222,executive,/executive/,adj.,执行官
223,screen,/screen/,v./n.,屏幕
224,display,/display/,v./n.,显示
225,report,/report/,v./n.,报告
226,steady,/steady/,adj.,稳定的
227,summarize,/summarize/,v.,总结
228,revenue,/revenue/,v./n.,收入
229,growth,/growth/,v./n.,增长
230,exceed,/exceed/,v./n.,超出
231,favorable,/favorable/,adj.,有利的
232,response,/response/,v./n.,反应
233,issue,/issue/,v./n.,问题
234,rise,/rise/,v./n.,上升
235,efficiency,/efficiency/,v./n.,效率
236,capture,/capture/,v./n.,夺取
237,contribute,/contribute/,v./n.,贡献
238,opinion,/opinion/,v./n.,观点
239,effective,/effective/,adj.,有效的
240,convince,/convince/,v./n.,说服
241,exchange,/exchange/,v./n.,交换
242,furnish,/furnish/,v./n.,布置
243,leather,/leather/,v./n.,皮革
244,penetrate,/penetrate/,v.,穿透
245,explain,/explain/,v./n.,解释
246,interview,/interview/,v./n.,采访
247,consumer,/consumer/,v./n.,消费者
248,monitor,/monitor/,v./n.,监控
249,expert,/expert/,v./n.,专家
250,nod,/nod/,v./n.,点头
251,approve,/approve/,v./n.,认可
252,investigate,/investigate/,v.,调查
253,arrive,/arrive/,adj.,到达
254,leave,/leave/,v./n.,离开
255,devote,/devote/,v./n.,奉献
256,predict,/predict/,v./n.,预测
257,comprehensive,/comprehensive/,adj.,综合的
258,categorize,/categorize/,v.,分类
259,variable,/variable/,adj.,变量
260,employ,/employ/,v./n.,使用
261,forecast,/forecast/,v./n.,预测
262,basis,/basis/,v./n.,依据
263,create,/create/,v.,制造
264,jealousy,/jealousy/,v./n.,嫉妒
265,manifest,/manifest/,v./n.,表现
266,clarify,/clarify/,v.,澄清
267,mature,/mature/,v./n.,成熟
268,process,/process/,v./n.,处理
269,surround,/surround/,v./n.,包围
270,silence,/silence/,n.,寂静
271,content,/content/,v./n.,内容
272,answer,/answer/,v./n.,回答
273,projection,/projection/,n.,预测
274,similar,/similar/,adj.,相似的
275,sensitive,/sensitive/,adj.,敏感的
276,perceive,/perceive/,adj.,感知
277,systematic,/systematic/,adj.,系统的
278,describe,/describe/,v./n.,描述
279,submit,/submit/,v./n.,提交
280,cover,/cover/,v./n.,覆盖
281,implement,/implement/,n.,实施
282,accurate,/accurate/,v.,准确的
283,excellent,/excellent/,adj.,优秀的
284,impress,/impress/,v./n.,印象深刻
285,execute,/execute/,v./n.,执行
