故事79: 校园回忆_难忘青春 - 词汇表

序号,词汇,中文释义,出现次数
1,"accelerate","加速",1
2,"accompany","陪伴",1
3,"active","积极",1
4,"always","总是",2
5,"appreciate","欣赏",1
6,"approach","接近",1
7,"beautiful","美丽",2
8,"begin","开始",1
9,"bloom","绽放",2
10,"blossom","萌芽",1
11,"bright","明媚",1
12,"change","改变",1
13,"cherish","珍惜",1
14,"close","靠近",1
15,"communicate","交流",1
16,"conversation","搭话",1
17,"courage","勇气",3
18,"date","约会",1
19,"determined","坚定",1
20,"difficulty","困难",1
21,"discuss","讨论",1
22,"dream","梦想",1
23,"elegant","优雅",1
24,"encounter","相遇",1
25,"encourage","鼓励",1
26,"end","结束",1
27,"enjoy","享受",1
28,"excited","兴奋",1
29,"expectation","期待",1
30,"fate","缘分",1
31,"final","最终",1
32,"finally","终于",1
33,"first","初恋",1
34,"gentle","轻柔",2
35,"hold","屏住",1
36,"legend","传奇",1
37,"luxuriant","茂盛",1
38,"manage","经营",2
39,"method","方法",1
40,"nervous","紧张",2
41,"never","从不",1
42,"observe","观察",1
43,"patient","耐心",1
44,"peaceful","平静",1
45,"practice","练习",1
46,"precious","珍贵",1
47,"quiet","安静",1
48,"read","阅读",1
49,"respect","尊重",1
50,"secret","暗恋",1
51,"serious","认真",1
52,"share","分享",1
53,"shy","害羞",2
54,"sincere","真诚",2
55,"sublimate","升华",1
56,"suitable","合适",1
57,"support","支持",1
58,"surprised","惊喜",1
59,"wait","等待",1
60,"warm","温暖",1

统计信息
词汇总数,60个
总出现次数,70次
