故事81: 空间艺术_建筑梦想 - 词汇表

序号,词汇,中文释义,出现次数
1,"accurate","精确",1
2,"achieve","成就",1
3,"always","总是",2
4,"architect","建筑师",1
5,"believe","相信",1
6,"breakthrough","突破",1
7,"busy","忙碌",1
8,"careful","仔细",2
9,"choose","选择",1
10,"clever","巧妙",1
11,"confident","自信",1
12,"continue","继续",1
13,"create","创作",1
14,"creative","创新",1
15,"design","设计",2
16,"devotion","奉献",1
17,"difficulty","难题",1
18,"early","早早",1
19,"encourage","鼓励",1
20,"excited","激动",1
21,"fascinate","着迷",1
22,"final","最终",1
23,"finally","终于",1
24,"focus","专注",1
25,"humbly","谦逊地",1
26,"innovate","创新",1
27,"inspire","启发",1
28,"intense","紧张",1
29,"magnificent","宏伟",1
30,"mark","标记",1
31,"meticulous","细致",1
32,"nervous","紧张",1
33,"never","从不",1
34,"origin","初衷",1
35,"passion","热情",2
36,"patience","耐心",1
37,"patient","耐心",1
38,"perfectly","完美",1
39,"professional","专业",1
40,"proud","自豪",1
41,"reasonable","合理",2
42,"relief","欣慰",2
43,"report","汇报",1
44,"respect","尊重",1
45,"satisfaction","满足",1
46,"scrutinize","推敲",1
47,"shape","塑造",2
48,"share","分享",1
49,"significance","意义",1
50,"spend","花费",1
51,"successful","成功",1
52,"try","尝试",1
53,"unique","独特",1
54,"value","价值",1
55,"vision","远见",1
56,"warm","热烈",1
57,"wisdom","智慧",1
58,"worried","担忧",1

统计信息
词汇总数,58个
总出现次数,65次
