故事64: 校园初恋_怦然心动 - 词汇表

序号,词汇,中文释义,出现次数
1,"accelerate","加速",1
2,"always","总是",2
3,"analyze","分析",1
4,"anxious","焦虑",1
5,"appreciate","欣赏",1
6,"atmosphere","氛围",1
7,"attract","吸引",1
8,"awkward","尴尬",1
9,"beautiful","美丽",1
10,"blossom","萌芽",1
11,"brilliant","灿烂",1
12,"comfortable","舒适",1
13,"contour","轮廓",1
14,"courage","勇气",1
15,"curiosity","好奇心",1
16,"dance","舞动",1
17,"deeply","深刻",1
18,"determined","坚定",1
19,"dream","梦想",1
20,"elegant","优雅",2
21,"enjoy","享受",1
22,"excite","兴奋",1
23,"fragrance","香气",1
24,"inspire","激励",1
25,"intense","强烈",1
26,"legend","传奇",1
27,"magnificent","宏伟",1
28,"melt","融化",1
29,"nervous","紧张",1
30,"never","从不",1
31,"nourish","滋养",1
32,"observe","观察",1
33,"optimistic","乐观",1
34,"passive","被动",1
35,"peaceful","平静",1
36,"pour","倾泻",1
37,"practice","练习",1
38,"precious","珍贵",1
39,"pressure","压力",1
40,"quicken","加快",1
41,"read","阅读",1
42,"regular","有规律",1
43,"spacious","宽敞",1
44,"struggle","斗争",1
45,"sway","摇曳",1
46,"sweat","出汗",1
47,"symbolic","象征",1
48,"tired","疲惫",1
49,"unable","无法",1
50,"unique","独特",1
51,"world","世界",1

统计信息
词汇总数,51个
总出现次数,53次
