故事97: 冰山融化_真爱降临 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",1
3,"applaud","鼓掌",1
4,"blossom","绽放",1
5,"build","建立",1
6,"calm","冷静",1
7,"change","变化",1
8,"come","来临",1
9,"confused","困惑",1
10,"control","控制",1
11,"create","创造",1
12,"determine","决心",1
13,"devote","奉献",1
14,"encourage","鼓励",1
15,"fail","无法",1
16,"faithful","忠诚的",1
17,"fear","害怕",1
18,"finally","终于",1
19,"firmly","坚定地",1
20,"fit","适合",1
21,"gain","获得",1
22,"gale","大风",2
23,"gallery","画廊",2
24,"gallon","加仑",1
25,"gallop","疾驰",1
26,"gamble","赌博",2
27,"gang","一群",2
28,"gap","差距",1
29,"garage","车库",1
30,"garbage","垃圾",1
31,"garden","花园",3
32,"garlic","大蒜",1
33,"garment","服装",1
34,"gasp","喘息",3
35,"gateway","通道",1
36,"gather","聚集",4
37,"gauge","测量",1
38,"gaze","凝视",3
39,"gear","齿轮",1
40,"gender","性别",1
41,"generalize","概括",1
42,"generate","产生",1
43,"generosity","慷慨",1
44,"generous","慷慨的",1
45,"generously","慷慨地",1
46,"genetic","基因",1
47,"genius","天才",1
48,"genre","类型",1
49,"gentle","温和",3
50,"gentleman","绅士",1
51,"genuine","真正的",5
52,"geography","地理",1
53,"geology","地质学",2
54,"geometry","几何",1
55,"gesture","手势",1
56,"ghost","幽灵",1
57,"giant","巨人",3
58,"gift","礼物",2
59,"gifted","有天赋的",1
60,"gigantic","巨大的",1
61,"giggle","咯咯笑",1
62,"ginger","生姜",1
63,"give","给予",3
64,"given","如果",2
65,"glacier","冰川",5
66,"glance","匆匆一看",1
67,"glass","玻璃",1
68,"gleam","闪烁",3
69,"glide","滑行",1
70,"glimmer","闪烁",2
71,"glimpse","一瞥",1
72,"glitter","闪耀",2
73,"global","全球的",3
74,"globe","世界",1
75,"gloom","忧郁",3
76,"glorious","光荣的",3
77,"glory","荣耀",1
78,"glove","手套",1
79,"glow","发光",4
80,"gold","黄金",3
81,"golden","金色的",1
82,"golf","高尔夫",1
83,"good","好的",1
84,"goods","货物",1
85,"gorge","峡谷",1
86,"gorgeous","美丽的",1
87,"gosling","小鹅",1
88,"gospel","好消息",1
89,"govern","管理",1
90,"grab","抓住",1
91,"grace","优雅",1
92,"graceful","优雅的",1
93,"gracefully","优雅地",1
94,"gracious","亲切的",1
95,"grade","等级",2
96,"gradual","逐渐的",1
97,"gradually","逐渐",2
98,"grand","宏伟的",3
99,"grant","授予",1
100,"graph","图表",1
101,"grasp","抓住",2
102,"grateful","感激的",1
103,"gratify","使满足",2
104,"graze","吃草",1
105,"greenhouse","温室",1
106,"greet","问候",2
107,"grip","紧握",2
108,"grow","成长",3
109,"guard","守护",3
110,"guess","猜测",1
111,"gulf","海湾",2
112,"gym","健身房",1
113,"inspire","启发",1
114,"learn","学习",1
115,"legend","传奇",2
116,"love","爱",1
117,"luxurious","奢华",1
118,"melt","融化",3
119,"patient","耐心",1
120,"professional","专业",1
121,"promise","承诺",1
122,"respect","尊重",1
123,"review","审视",1
124,"sincere","真诚",1
125,"slowly","慢慢",1
126,"startled","惊吓",1
127,"successful","成功",1
128,"support","支持",1
129,"surprised","惊讶",1
130,"sweet","甜蜜",1
131,"think","思考",1
132,"travel","旅行",1
133,"try","尝试",1
134,"whisper","低语",1
135,"wonder","疑惑",1
136,"write","写",1

统计信息
词汇总数,136个
总出现次数,197次
