故事47: 霸总独宠_唯一的爱 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",2
3,"appear","出现",1
4,"arrange","安排",1
5,"beautiful","美丽的",2
6,"bright","灿烂的",1
7,"busy","忙碌",1
8,"care","用心",2
9,"careful","细心的",1
10,"carefully","仔细地",2
11,"celebrate","庆祝",1
12,"cherish","珍惜",1
13,"choose","选择",1
14,"cold","冷酷的",1
15,"comfortable","舒适的",1
16,"complete","完全的",1
17,"consider","考虑",1
18,"deep","深厚",2
19,"deeply","深深地",1
20,"delicious","美味的",1
21,"deliver","呈现",1
22,"determined","坚定",1
23,"devotion","深情",1
24,"difficult","困难的",1
25,"encourage","鼓励",1
26,"excited","兴奋",1
27,"exhausted","疲惫的",2
28,"finally","终于",1
29,"forget","忘记",1
30,"gentle","温柔",1
31,"genuine","真挚",1
32,"happy","幸福",2
33,"hug","拥抱",1
34,"ideal","理想的",1
35,"key","关键",1
36,"legend","传奇",2
37,"level","层次",1
38,"love","爱意",1
39,"luxurious","奢华的",1
40,"magnificent","宏伟的",1
41,"marriage","婚姻",1
42,"moved","感动",2
43,"nervous","紧张",1
44,"never","从不",1
45,"patient","耐心",1
46,"patiently","耐心地",1
47,"personally","亲自",1
48,"physical","身体的",1
49,"plan","计划",1
50,"powerful","有权势的",1
51,"precious","珍贵的",1
52,"prepare","准备",3
53,"pressure","压力",1
54,"respect","尊重",1
55,"sad","难过",1
56,"secret","秘诀",1
57,"secretly","秘密地",1
58,"share","分享",1
59,"sincere","真诚",3
60,"special","特别的",1
61,"spend","花费",1
62,"stress","压力",1
63,"successful","成功",1
64,"support","支持",1
65,"surprise","惊喜",2
66,"tear","眼泪",1
67,"thin","消瘦",1
68,"thoughtful","体贴的",1
69,"tired","疲惫",1
70,"travel","旅行",1
71,"trouble","烦恼",1
72,"vacation","假期",1
73,"wait","等待",1
74,"warm","温馨",1
75,"warmth","温暖",1
76,"worried","担忧",1

统计信息
词汇总数,76个
总出现次数,90次
