故事82: 园林之美_景观设计 - 词汇表

序号,词汇,中文释义,出现次数
1,"accurate","精确",1
2,"achieve","成就",1
3,"always","总是",2
4,"beautiful","美丽",1
5,"believe","相信",1
6,"breakthrough","突破",1
7,"busy","忙碌",1
8,"careful","仔细",2
9,"choose","选择",1
10,"clever","巧妙",1
11,"colorful","多彩",1
12,"confident","自信",1
13,"continue","继续",1
14,"create","创造",2
15,"devotion","奉献",1
16,"difficulty","难题",1
17,"early","早早",1
18,"encourage","鼓励",1
19,"excited","激动",1
20,"express","表达者",1
21,"fascinate","着迷",1
22,"final","最终",1
23,"finally","终于",1
24,"focus","专注",1
25,"humbly","谦逊地",1
26,"innovate","创新",1
27,"inspire","启发",1
28,"luxuriant","茂盛",1
29,"mark","标记",1
30,"meticulous","细致",1
31,"nervous","紧张",1
32,"never","从不",1
33,"origin","初衷",1
34,"passion","热情",2
35,"patience","耐心",1
36,"patient","耐心",1
37,"perfectly","完美",1
38,"plan","规划",1
39,"professional","专业",1
40,"proud","自豪",1
41,"quiet","安静",1
42,"reasonable","合理",1
43,"relief","欣慰",2
44,"report","汇报",1
45,"respect","尊重",2
46,"satisfaction","满足",1
47,"scrutinize","推敲",1
48,"share","分享",1
49,"significance","意义",1
50,"smooth","流畅",1
51,"spend","花费",1
52,"successful","成功",1
53,"try","尝试",1
54,"value","价值",1
55,"warm","热烈",1
56,"wisdom","智慧",1
57,"worried","担忧",1

统计信息
词汇总数,57个
总出现次数,63次
