故事7: 那年夏天，我们相遇_初见学长 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",1
2,"academic","学术的",2
3,"accelerate","加速",1
4,"adapt","适应",1
5,"admission","入学",1
6,"ancient","古老的",1
7,"anticipation","期待",1
8,"apologize","道歉",1
9,"appreciate","欣赏",1
10,"architecture","建筑",1
11,"assign","分配",1
12,"atmosphere","氛围",1
13,"attitude","态度",1
14,"attractive","吸引人的",1
15,"authority","权威",1
16,"balance","平衡",1
17,"booth","摊位",1
18,"breeding","教养",1
19,"building","建筑",1
20,"campus","校园",1
21,"capture","捕捉",1
22,"care","关心",1
23,"chapter","篇章",1
24,"charm","魅力",1
25,"coincide","一致",1
26,"complete","完成",1
27,"compose","构成",2
28,"confident","自信的",1
29,"confuse","困惑",1
30,"confusion","困惑",1
31,"core","核心",1
32,"crucial","关键的",1
33,"delight","喜悦",1
34,"direction","方向",1
35,"distinct","明显的",1
36,"dream","梦想",1
37,"emotion","情感",1
38,"encounter","遇见",1
39,"encourage","鼓舞",1
40,"energy","活力",1
41,"enthusiastic","热情的",1
42,"excitement","兴奋",1
43,"expect","期待",1
44,"expectation","期待",1
45,"experience","经验",1
46,"expression","表情",1
47,"figure","身影",1
48,"flutter","飘动",1
49,"foundation","基础",1
50,"friendship","友谊",1
51,"function","功能",1
52,"gentle","温和",1
53,"gradually","逐渐地",1
54,"gratitude","感激",1
55,"growth","增长",1
56,"handsome","英俊",1
57,"harmony","和谐",1
58,"highlight","突出",1
59,"hobby","爱好",1
60,"humorous","幽默",1
61,"ideal","理想的",1
62,"illustration","例子",1
63,"impression","印象",1
64,"inquire","询问",1
65,"insight","见解",2
66,"interact","互动",1
67,"item","项目",1
68,"junction","交叉口",1
69,"kindness","善良",1
70,"knowledge","知识",1
71,"knowledgeable","知识渊博",1
72,"laboratory","实验室",1
73,"landscape","风景",1
74,"location","地点",1
75,"lonely","孤独的",1
76,"longing","憧憬",1
77,"magnificent","壮丽的",1
78,"massive","巨大的",1
79,"memorable","难忘的",1
80,"memory","记忆",1
81,"moment","时刻",1
82,"motivation","动力",1
83,"orientation","新生指导",1
84,"outstanding","杰出的",2
85,"overwhelm","不知所措",1
86,"panic","恐慌",1
87,"passion","热情",1
88,"patience","耐心",1
89,"personality","性格",1
90,"perspective","视角",1
91,"plaza","广场",1
92,"poetic","诗意的",1
93,"polite","礼貌的",1
94,"position","职位",1
95,"prestigious","享有声望的",1
96,"profile","侧面",1
97,"purchase","购买",1
98,"regular","规律",1
99,"relax","放松",1
100,"relieve","宽慰",1
101,"remote","偏远的",1
102,"resource","资源",1
103,"responsibility","责任",1
104,"rhythm","节奏",1
105,"ripple","涟漪",2
106,"romance","浪漫",1
107,"scenery","景观",1
108,"scholarship","奖学金",1
109,"sincere","真诚",1
110,"special","特殊的",1
111,"student","学生",1
112,"style","风格",1
113,"talent","才能",1
114,"talented","有才华的",1
115,"thoughtful","体贴",1
116,"touched","触动",1
117,"tradition","传统",1
118,"treasure","宝物",1
119,"understanding","理解",1
120,"unfamiliar","陌生的",1
121,"unique","独特的",1
122,"university","大学",1
123,"unknown","未知的",1
124,"vibrant","充满活力的",1
125,"vivid","生动的",1
126,"volunteer","志愿者",1
127,"warm","温暖",1
128,"wisdom","智慧",1

统计信息
词汇总数,128个
总出现次数,133次
