故事10: 心动信号_表白时刻 - 词汇表

序号,词汇,中文释义,出现次数
1,"adoration","爱慕",1
2,"adore","爱意",1
3,"affection","喜爱",2
4,"agitation","激动",1
5,"analyze","分析",1
6,"anticipation","期待",1
7,"anxiety","焦虑",1
8,"arrange","安排",1
9,"atmosphere","氛围",1
10,"beginning","开始",1
11,"bliss","幸福",1
12,"bond","纽带",2
13,"burden","负担",1
14,"calm","冷静",1
15,"care","关心",2
16,"challenge","挑战",1
17,"chance","机会",2
18,"cherish","珍视",3
19,"commitment","承诺",1
20,"confess","表白",1
21,"contact","联系",1
22,"contemplate","深思",1
23,"converse","交谈",1
24,"convey","传达",1
25,"courage","勇气",2
26,"crucial","关键",1
27,"delay","拖延",1
28,"desire","渴望",1
29,"destiny","命运",1
30,"determination","决心",3
31,"devote","奉献",1
32,"devotion","深情",1
33,"distance","距离",1
34,"ecstasy","狂喜",1
35,"emotion","情感",3
36,"encourage","鼓励",1
37,"enthusiasm","热情",1
38,"expect","期待",1
39,"experience","经历",2
40,"explore","探索",1
41,"firm","坚定的",1
42,"fluctuate","波动",1
43,"future","未来",1
44,"gratitude","感激",1
45,"happiness","幸福",2
46,"hesitation","犹豫",1
47,"hope","希望",1
48,"impulse","冲动",1
49,"intense","强烈",1
50,"internal","内心",1
51,"invite","邀请",1
52,"joy","喜悦",1
53,"lifetime","一生",1
54,"love","爱情",1
55,"meaning","意义",1
56,"meaningful","有意义的",1
57,"memorable","难忘",1
58,"meticulous","细致",1
59,"miracle","奇迹",2
60,"misunderstanding","误解",1
61,"moment","时刻",1
62,"mood","心情",1
63,"nature","本质",1
64,"nervous","紧张",1
65,"nervousness","紧张",1
66,"opportunity","机会",1
67,"passion","热情",2
68,"peaceful","宁静",1
69,"pleasant","愉快的",1
70,"possibility","可能",1
71,"power","力量",1
72,"precious","珍贵",1
73,"preparation","准备",1
74,"prepare","准备",1
75,"promise","承诺",2
76,"protect","保护",1
77,"prove","证明",1
78,"relax","放松",2
79,"reliance","依靠",1
80,"repeat","重复",1
81,"resolve","决心",1
82,"resonance","共鸣",1
83,"respect","尊重",1
84,"responsibility","责任",2
85,"romantic","浪漫",1
86,"serious","认真的",1
87,"silence","寂静",1
88,"sincere","真诚",3
89,"smile","微笑",1
90,"special","特别",1
91,"steady","稳定",1
92,"suppress","抑制",1
93,"tenderness","温柔",1
94,"thoughtful","周到",1
95,"touch","感动",1
96,"trust","信任",1
97,"turning","转折点",1
98,"value","重视",1
99,"vanish","消失",1
100,"vision","愿景",1
101,"visualize","想象",1
102,"warmth","温暖",1

统计信息
词汇总数,102个
总出现次数,122次
