故事11: 凤临天下_逆袭重生 - 词汇表

序号,词汇,中文释义,出现次数
1,"accelerate","加速",1
2,"achieve","成就",1
3,"acknowledge","认可",1
4,"active","积极",1
5,"affinity","缘分",1
6,"ally","盟友",1
7,"always","总是",1
8,"analysis","分析",1
9,"analyze","分析",1
10,"applaud","响起掌声",1
11,"appropriate","合适",1
12,"arouse","引起",1
13,"arrogant","傲慢",1
14,"betray","背叛",1
15,"brave","勇气",1
16,"breakthrough","突破口",1
17,"build","建立",1
18,"burning","燃烧",1
19,"calm","平静",1
20,"calmly","平静地",1
21,"care","关爱",1
22,"careful","小心",2
23,"cautious","谨慎",1
24,"collapse","倒下",1
25,"collect","收集",1
26,"composed","镇定",1
27,"confine","禁足",1
28,"conspiracy","阴谋",2
29,"continue","继续",1
30,"convey","传达",1
31,"cope","应对",1
32,"corner","角落",1
33,"create","创造",1
34,"criminal","犯罪",1
35,"critical","关键",1
36,"cruelty","残酷",1
37,"degrade","降级",1
38,"destiny","命运",1
39,"detect","察觉",1
40,"determine","决心",1
41,"determined","坚定",1
42,"devote","奉献",1
43,"disguise","伪装",1
44,"elegant","优雅",1
45,"eliminate","清除",1
46,"embezzlement","贪污",1
47,"encourage","鼓励",1
48,"endurance","隐忍",1
49,"establish","建立",1
50,"evidence","证据",2
51,"execute","执行",1
52,"exploit","利用",1
53,"expose","暴露",2
54,"fall","跌落",1
55,"favor","恩宠",1
56,"finally","终于",1
57,"firmly","坚定地",1
58,"flash","闪过",1
59,"flatter","谬赞",1
60,"fragile","脆弱",1
61,"friendly","友好",1
62,"fulfill","充实",1
63,"gather","收集",1
64,"glory","荣耀",1
65,"happy","幸福",1
66,"hasty","仓促",1
67,"humble","谦卑",1
68,"identify","确认",1
69,"ignorant","无知",1
70,"immediately","立刻",1
71,"implement","实施",1
72,"improper","不当",1
73,"influence","影响力",1
74,"innocent","无辜",1
75,"inspire","启发",2
76,"knowledgeable","博学",1
77,"layout","布局",1
78,"legend","传奇",1
79,"lower","低下",1
80,"lucky","幸运",1
81,"lurk","潜伏",1
82,"luxurious","奢华的",1
83,"maintain","维持",1
84,"mark","标记",1
85,"monitor","监视",1
86,"murmur","低语",1
87,"network","人脉网络",1
88,"observe","观察",1
89,"opportunity","机会",1
90,"overcome","克服",1
91,"patient","耐心",3
92,"pay","付出",1
93,"power","权力",1
94,"precise","精准",1
95,"promise","承诺",1
96,"promote","促进",1
97,"prosper","繁荣",1
98,"proud","自豪",2
99,"punish","惩罚",1
100,"question","质问",1
101,"recall","回忆",1
102,"recognize","认出",1
103,"record","记录",1
104,"reduce","减少",1
105,"relieved","释然",1
106,"remind","提醒",1
107,"remove","除掉",1
108,"reply","回答",1
109,"respect","尊重",1
110,"respectful","恭敬",1
111,"responsibility","责任",1
112,"rule","治理",1
113,"rush","急躁",1
114,"safely","安全",1
115,"satisfaction","满足",1
116,"scheme","策划",1
117,"secret","秘诀",1
118,"share","分享",1
119,"sharp","锐利",1
120,"shocked","震惊",1
121,"signal","信号",1
122,"similar","相似",1
123,"smart","聪明",1
124,"smile","微笑",1
125,"spend","花费",1
126,"splendid","辉煌",1
127,"stabilize","稳固",1
128,"status","地位",1
129,"steady","平稳",1
130,"strategically","策略性地",1
131,"submissive","顺从",1
132,"subtle","微妙",1
133,"successful","成功",1
134,"suspicion","怀疑",1
135,"target","针对",1
136,"thorough","彻底",1
137,"time","时间",1
138,"traitor","叛徒",1
139,"trample","践踏",1
140,"transfer","转移",1
141,"trap","陷阱",1
142,"trust","信任",1
143,"understanding","了解",1
144,"use","使用",1
145,"value","价值",1
146,"victory","胜利",1
147,"vulnerability","弱点",1
148,"weakness","弱点",2
149,"whisper","低语",1
150,"wisdom","智慧",2

统计信息
词汇总数,150个
总出现次数,160次
