故事49: 校园浪漫_青春恋歌 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",2
3,"ancient","古老的",1
4,"appreciate","欣赏",1
5,"atmosphere","氛围",1
6,"beautiful","美丽的",3
7,"bloom","绽放",1
8,"blossom","萌芽",1
9,"brave","勇敢",1
10,"challenge","挑战",1
11,"classic","经典的",1
12,"close","靠近",1
13,"communicate","交流",1
14,"conversation","对话",1
15,"courage","勇气",3
16,"date","约会",1
17,"destiny","缘分",1
18,"determined","坚定",1
19,"difficult","困难的",1
20,"discuss","讨论",1
21,"dream","梦想",1
22,"elegant","优雅的",1
23,"encourage","鼓励",1
24,"end","结束",1
25,"enjoy","享受",1
26,"enthusiastic","热情",1
27,"excited","兴奋",1
28,"finally","终于",1
29,"flower","花朵",1
30,"focused","专注的",1
31,"gentle","温柔",1
32,"greet","打招呼",1
33,"guard","守护",1
34,"habit","习惯",1
35,"imagine","想象",1
36,"infinite","无限的",1
37,"interest","兴趣",1
38,"legend","传奇",1
39,"level","层次",1
40,"library","图书馆",1
41,"literature","文学",1
42,"magnificent","宏伟的",1
43,"memory","记忆",1
44,"nervous","紧张",2
45,"never","从不",1
46,"observe","观察",1
47,"opportunity","机会",1
48,"patient","耐心",1
49,"patiently","耐心地",1
50,"peaceful","平静的",1
51,"practice","练习",1
52,"precious","珍贵的",1
53,"pure","纯真",1
54,"quiet","安静",1
55,"quietly","安静地",1
56,"read","阅读",2
57,"respect","尊重",1
58,"scenery","风景",1
59,"share","分享",1
60,"shy","害羞",2
61,"sincere","真诚",1
62,"support","支持",1
63,"surprised","惊讶",2
64,"thought","想法",1
65,"time","时光",2
66,"university","大学",1
67,"wait","等待",1
68,"wander","漫步",1
69,"warm","温暖的",2

统计信息
词汇总数,69个
总出现次数,80次
