故事95: 异地相思_距离之美 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极地",1
2,"adequate","足够的",1
3,"always","总是",2
4,"approach","靠近",1
5,"build","建立",1
6,"create","创造",1
7,"creative","创造性的",1
8,"determine","决心",1
9,"devote","奉献",1
10,"direct","直接的",1
11,"eager","渴望地",2
12,"eagerly","渴望地",2
13,"eagle","老鹰",1
14,"earliest","尽早地",1
15,"early","较早的",1
16,"earn","赚取",7
17,"earnest","真挚的",5
18,"earthquake","震撼",1
19,"easily","轻易地",1
20,"eastern","东方的",2
21,"easy","轻松",2
22,"eaves","树叶",1
23,"eccentric","古怪的",1
24,"eclipse","超越",1
25,"economic","经济上的",2
26,"economy","经济",2
27,"edge","边缘",1
28,"edit","修改",1
29,"edition","版本",1
30,"educate","教育",1
31,"effect","产生效果",1
32,"effectively","有效地",1
33,"efficiency","效率",1
34,"efficient","高效的",1
35,"effort","努力",2
36,"either","任一的",1
37,"elaborate","精心设计的",3
38,"elastic","有弹性的",1
39,"electronic","电子的",1
40,"elegant","优雅的",4
41,"element","要素",2
42,"elementary","基础的",1
43,"elevate","晋升",3
44,"eligible","符合资格的",2
45,"eliminate","消除",2
46,"elite","精英",2
47,"elongate","拉长",1
48,"eloquent","雄辩的",1
49,"elsewhere","其他地方",1
50,"elucidate","阐明",1
51,"embarrassed","尴尬的",1
52,"embarrassing","令人尴尬的",1
53,"embody","体现",1
54,"embrace","准备迎接",1
55,"emerge","出现",1
56,"emergency","紧急的",2
57,"emit","发出",3
58,"emotion","情感",2
59,"emotional","感人的",1
60,"emphasis","重点",1
61,"emphasize","强调",1
62,"employ","运用",1
63,"employment","维系",1
64,"empower","赋予力量",1
65,"empty","空虚的",1
66,"enable","使能够",1
67,"enchant","使着迷",1
68,"enchanting","迷人的",2
69,"enclose","附上",1
70,"encounter","感受到",3
71,"encourage","鼓励",4
72,"encouraging","令人鼓舞的",1
73,"endeavor","尽力",6
74,"ending","结局",1
75,"endurance","考验",1
76,"endure","坚持",5
77,"enduring","持久的",3
78,"energetic","充满活力的",2
79,"energetically","精力充沛地",1
80,"energy","力量",2
81,"engage","参与",1
82,"enlighten","启发",1
83,"enormous","巨大的",2
84,"enterprise","企业",1
85,"enthusiastic","热情的",2
86,"entirely","完全地",1
87,"environment","环境",1
88,"episode","片段",1
89,"equally","平等地",1
90,"erupt","迸发",1
91,"essence","本质",1
92,"essential","必不可少的",1
93,"establish","建立",1
94,"eternal","永恒的",3
95,"evaluation","评价",1
96,"eventually","最终",2
97,"ever","永远",3
98,"everlasting","永恒的",1
99,"evidence","证明",4
100,"evolve","发展",1
101,"examination","考验",1
102,"exceed","超过",3
103,"excellent","优秀的",2
104,"exceptional","卓越的",1
105,"exchange","交换",1
106,"excite","使兴奋",1
107,"excited","激动",1
108,"exclusive","独有的",2
109,"exemplary","模范的",1
110,"exhausted","筋疲力尽的",1
111,"expectation","预期",1
112,"experience","经历",1
113,"explain","解释",2
114,"explicit","明确的",3
115,"express","表达",1
116,"external","外部的",1
117,"extraordinary","非凡的",1
118,"finally","终于",1
119,"firm","坚定的",2
120,"firmly","坚定地",1
121,"fulfill","充实",1
122,"goal","目标",1
123,"happily","幸福地",1
124,"happy","幸福",1
125,"hopeful","充满希望",1
126,"inspire","启发",2
127,"moved","感动",1
128,"nervous","紧张",1
129,"never","从不",1
130,"patience","耐心",1
131,"patient","耐心地",3
132,"positive","积极地",1
133,"promise","承诺",1
134,"recall","回忆",1
135,"respect","尊重",1
136,"share","分享",2
137,"sincerity","真诚",1
138,"spend","花费",1
139,"strengthen","加强",1
140,"strong","强烈",1
141,"successful","成功的",1
142,"support","支持",1
143,"surrender","放弃",1
144,"worried","担忧",1
145,"worthy","值得的",1
146,"write","写",1

统计信息
词汇总数,146个
总出现次数,220次
