故事23: 暗箭难防_职场逆袭 - 词汇表

序号,词汇,中文释义,出现次数
1,"accusation","指控",1
2,"action","行动",1
3,"active","积极",1
4,"advice","建议",1
5,"always","总是",2
6,"applaud","响起掌声",1
7,"brave","勇敢",1
8,"build","建立",1
9,"calm","冷静",1
10,"carefully","仔细地",1
11,"careless","粗心",1
12,"colleague","同事",1
13,"collect","收集",1
14,"confident","自信",1
15,"confrontation","对峙",1
16,"consult","咨询",1
17,"cooperate","合作",1
18,"corporation","公司",1
19,"courage","勇气",2
20,"credit","功劳",1
21,"damage","损害",1
22,"delete","删除",1
23,"deny","否认",1
24,"determine","决心",1
25,"devote","奉献",1
26,"director","主管",1
27,"email","邮件",1
28,"empty","空荡",1
29,"encourage","鼓励",1
30,"enthusiasm","热情",1
31,"evidence","证据",1
32,"excellent","出色",1
33,"excited","激动",1
34,"explain","解释",1
35,"fair","公平",1
36,"false","虚假",1
37,"fear","恐惧",1
38,"finally","终于",1
39,"fire","开除",1
40,"firmly","坚定地",1
41,"former","以前的",1
42,"fresh","新",1
43,"fulfill","充实",1
44,"help","帮助",1
45,"illegal","非法",1
46,"inspire","启发",2
47,"justice","正义",2
48,"log","日志",1
49,"lonely","孤独",1
50,"manager","经理",1
51,"message","信息",1
52,"midnight","午夜",1
53,"nervous","紧张",1
54,"never","从不",1
55,"opportunity","时机",1
56,"pain","痛苦",2
57,"patient","耐心",1
58,"photograph","拍照",1
59,"pile","堆积",1
60,"power","力量",1
61,"powerful","势力大",1
62,"process","过程",1
63,"promise","承诺",1
64,"protect","守护",1
65,"proud","自豪",2
66,"record","记录",1
67,"reflect","反思",1
68,"relationship","关系",1
69,"replace","取代",1
70,"reputation","名声",1
71,"resentment","怨恨",1
72,"respect","尊重",1
73,"result","成果",1
74,"rumor","谣言",1
75,"secretly","秘密地",1
76,"share","分享",1
77,"slander","诽谤",1
78,"smoothly","顺利",1
79,"solid","确凿",1
80,"spend","花费",1
81,"status","现状",1
82,"story","故事",1
83,"strength","力量",1
84,"strong","坚强",1
85,"successful","成功",1
86,"support","支持",1
87,"suspend","暂停",1
88,"threat","威胁",1
89,"truth","真相",1
90,"unity","团结",1
91,"victim","受害者",1
92,"wait","等待",1
93,"wisdom","智慧",1
94,"work","工作",1
95,"worried","担忧",1

统计信息
词汇总数,95个
总出现次数,101次
