故事84: 城市蓝图_规划未来 - 词汇表

序号,词汇,中文释义,出现次数
1,"accurate","精确",1
2,"achieve","成就",1
3,"always","总是",2
4,"beautiful","美丽",1
5,"believe","相信",1
6,"breakthrough","突破",1
7,"busy","忙碌",1
8,"careful","仔细",2
9,"choose","选择",1
10,"confident","自信",1
11,"continue","继续",1
12,"convenient","便捷",1
13,"describe","描绘",2
14,"devotion","奉献",1
15,"difficulty","难题",1
16,"early","早早",1
17,"efficient","高效",1
18,"encourage","鼓励",1
19,"excited","激动",1
20,"fascinate","着迷",1
21,"final","最终",1
22,"finally","终于",1
23,"focus","专注",1
24,"humbly","谦逊地",1
25,"innovate","创新",1
26,"inspire","启发",1
27,"intense","紧张",1
28,"magnitude","重大",1
29,"mark","标记",1
30,"meticulous","细致",1
31,"nervous","紧张",1
32,"never","从不",1
33,"origin","初衷",1
34,"passion","热情",1
35,"patience","耐心",1
36,"patient","耐心",1
37,"perfectly","完美",1
38,"plan","规划",1
39,"professional","专业",1
40,"prosperous","繁华",1
41,"proud","自豪",1
42,"reasonable","合理",2
43,"relief","欣慰",2
44,"report","汇报",1
45,"respect","尊重",1
46,"responsibility","责任感",1
47,"satisfaction","满足",1
48,"scrutinize","推敲",1
49,"share","分享",1
50,"spend","花费",1
51,"successful","成功",1
52,"try","尝试",1
53,"value","价值",1
54,"vision","远见",1
55,"warm","热烈",1
56,"wisdom","智慧",1
57,"worried","担忧",1

统计信息
词汇总数,57个
总出现次数,62次
