故事54: 校园暗恋_心动时刻 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",2
3,"ancient","古老的",1
4,"appreciate","欣赏",1
5,"atmosphere","氛围",1
6,"beautiful","美丽的",2
7,"bloom","绽放",1
8,"blossom","萌芽",1
9,"brave","勇敢",1
10,"challenge","挑战",1
11,"classic","经典的",1
12,"close","靠近",1
13,"communicate","交流",1
14,"conversation","对话",1
15,"courage","勇气",3
16,"date","约会",1
17,"destiny","缘分",1
18,"determined","坚定",1
19,"difficult","困难",1
20,"discuss","讨论",1
21,"dream","梦想",1
22,"elegant","优雅",1
23,"encourage","鼓励",1
24,"end","结束",1
25,"enjoy","享受",1
26,"enthusiastic","热情",1
27,"excited","兴奋",1
28,"finally","终于",1
29,"flower","花朵",1
30,"focused","专注",1
31,"gentle","温柔",1
32,"greet","打招呼",1
33,"guard","守护",1
34,"habit","习惯",1
35,"imagine","想象",1
36,"infinite","无限的",1
37,"interest","兴趣",1
38,"legend","传奇",1
39,"level","层次",1
40,"library","图书馆",1
41,"literature","文学",1
42,"magnificent","宏伟的",1
43,"memory","记忆",1
44,"nervous","紧张",2
45,"never","从不",1
46,"observe","观察",1
47,"opportunity","机会",1
48,"patient","耐心",1
49,"patiently","耐心地",1
50,"peaceful","平静",1
51,"practice","练习",1
52,"precious","珍贵",1
53,"pure","纯真",1
54,"quietly","安静地",1
55,"read","阅读",2
56,"respect","尊重",1
57,"scenery","风景",1
58,"share","分享",1
59,"shy","害羞",2
60,"sincere","真诚",1
61,"support","支持",1
62,"surprised","惊讶",2
63,"thought","想法",1
64,"time","时光",2
65,"university","大学",1
66,"wait","等待",1
67,"wander","漫步",1
68,"warm","温暖",2
69,"warmth","温暖",1

统计信息
词汇总数,69个
总出现次数,79次
