故事44: 校园心动_初次恋爱 - 词汇表

序号,词汇,中文释义,出现次数
1,"accelerate","加速",1
2,"active","积极",1
3,"actually","其实",2
4,"always","总是",2
5,"ancient","古老",1
6,"appreciate","欣赏",1
7,"approach","接近",1
8,"atmosphere","氛围",1
9,"author","作者",1
10,"beautiful","美丽",3
11,"blossom","萌芽",1
12,"bright","明媚",4
13,"classic","经典",1
14,"close","靠近",1
15,"colorful","丰富",1
16,"courage","勇气",2
17,"determined","下定决心",1
18,"dream","梦想",1
19,"echo","呼应",1
20,"encourage","鼓励",1
21,"enjoy","享受",1
22,"excited","兴奋",1
23,"expect","期待",1
24,"explore","探索",1
25,"faint","淡淡",1
26,"favorite","喜爱",1
27,"fellow","同好",1
28,"flutter","飘舞",1
29,"focus","专注",1
30,"freshman","大一新生",1
31,"gentle","温柔",2
32,"hold","屏住",1
33,"initiative","主动",1
34,"legend","传奇",1
35,"literature","文学",1
36,"memory","记忆",1
37,"method","方法",1
38,"modern","现代",1
39,"movie","电影",1
40,"nervous","紧张",2
41,"never","从不",1
42,"observe","观察",1
43,"opportunity","机会",1
44,"patient","耐心",1
45,"peaceful","宁静",2
46,"perfect","完美",1
47,"practice","练习",1
48,"precious","珍贵",2
49,"quiet","安静",1
50,"read","阅读",1
51,"respect","尊重",1
52,"romantic","浪漫",1
53,"share","分享",1
54,"shy","害羞",3
55,"simple","简单",1
56,"situation","状况",1
57,"study","学习",1
58,"sunshine","阳光",1
59,"support","支持",1
60,"surprise","惊喜",1
61,"tremble","颤抖",1
62,"warm","温暖",1
63,"worry","担忧",1

统计信息
词汇总数,63个
总出现次数,77次
