故事24: 怦然心动_初遇之恋 - 词汇表

序号,词汇,中文释义,出现次数
1,"accelerate","加速",1
2,"active","积极",1
3,"always","总是",2
4,"ancient","古老的",1
5,"arrive","到达",1
6,"beautiful","美丽",3
7,"bloom","绽放",1
8,"blossom","萌芽",1
9,"blush","脸红",1
10,"borrow","借阅",1
11,"breeze","微风",1
12,"bright","明媚",2
13,"build","建立",1
14,"close","靠近",1
15,"conversation","对话",1
16,"corner","角落",1
17,"courage","勇气",1
18,"create","创造",1
19,"determine","决心",1
20,"determined","坚定",1
21,"devote","奉献",1
22,"dream","梦想",1
23,"encourage","鼓励",1
24,"end","结束",1
25,"enjoy","享受",1
26,"enthusiastic","热情",1
27,"excited","兴奋",1
28,"expectation","期待",1
29,"finally","终于",1
30,"firmly","坚定地",1
31,"focus","专注",1
32,"forever","永远",1
33,"fragrance","芬芳",1
34,"freshman","大一新生",1
35,"gentle","温柔",2
36,"greet","打招呼",1
37,"heart","心",1
38,"hold","屏住",1
39,"imagine","想象",1
40,"latte","拿铁",1
41,"legend","传奇",1
42,"life","人生",1
43,"love","热爱",1
44,"nervous","紧张",2
45,"never","从不",1
46,"notebook","笔记本",1
47,"notice","注意到",1
48,"observe","观察",1
49,"passion","热情",1
50,"patient","耐心",1
51,"peaceful","平静",1
52,"poetry","诗歌",1
53,"practical","实用",1
54,"practice","练习",1
55,"precious","珍贵",2
56,"promise","承诺",1
57,"propose","求婚",1
58,"quietly","悄悄地",1
59,"read","阅读",1
60,"regret","遗憾",1
61,"respect","尊重",1
62,"response","回应",1
63,"romantic","浪漫",1
64,"share","分享",1
65,"shy","害羞",3
66,"simple","简单",1
67,"sincere","真诚",2
68,"slender","修长",1
69,"smile","微笑",1
70,"sophomore","大二学生",1
71,"soulmate","知己",1
72,"spring","春天",1
73,"stuck","卡住",1
74,"suggestion","建议",1
75,"support","支持",1
76,"surprised","惊喜",1
77,"sweet","甜美",3
78,"tear","流泪",1
79,"thought","想法",1
80,"wait","等待",1
81,"wander","漫步",1
82,"warmth","温暖",1
83,"weekend","周末",1
84,"world","世界",1
85,"writer","作家",1

统计信息
词汇总数,85个
总出现次数,97次
