故事20: 跨越千年_穿越情缘 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"adapt","适应",2
3,"admire","敬佩",1
4,"always","总是",2
5,"ancient","古老",1
6,"applaud","响起掌声",1
7,"avoid","避免",1
8,"blossom","萌芽",1
9,"build","建立",1
10,"cherish","珍惜",1
11,"confuse","困惑",1
12,"create","创造",1
13,"determine","决心",1
14,"determined","坚定",1
15,"devote","奉献",1
16,"difficult","困难",1
17,"elegant","优雅",1
18,"encourage","鼓励",1
19,"eternal","永恒",1
20,"explore","探索",1
21,"finally","终于",1
22,"firmly","坚定",3
23,"fulfill","充实",1
24,"gentle","温柔",1
25,"happy","幸福",2
26,"hug","拥抱",1
27,"inspire","启发",1
28,"integrate","融入",1
29,"invite","邀请",1
30,"learn","学习",1
31,"legend","传奇",1
32,"melt","融化",1
33,"miracle","奇迹",1
34,"mystery","神秘",1
35,"nervous","紧张",1
36,"never","从不",1
37,"observe","观察",1
38,"patient","耐心",1
39,"promise","承诺",1
40,"remember","记住",1
41,"respect","尊重",1
42,"share","分享",1
43,"sincere","真诚",1
44,"soft","轻柔",1
45,"spend","花费",1
46,"strange","陌生",2
47,"struggle","挣扎",1
48,"successful","成功",1
49,"support","支持",1
50,"suppress","压抑",1
51,"surprise","惊讶",1
52,"tearful","含泪",1
53,"ultimate","最终",1
54,"uncertain","不确定",1
55,"unfamiliar","不熟悉",1

统计信息
词汇总数,55个
总出现次数,61次
