故事91: 千金归来_复仇计划 - 词汇表

序号,词汇,中文释义,出现次数
1,"abandon","放弃",1
2,"abolish","废除",1
3,"abundant","丰富的",1
4,"academic","学术的",1
5,"accept","接受",1
6,"accomplish","完成",1
7,"account","叙述",1
8,"accumulate","积累",1
9,"accurate","准确的",1
10,"achieve","实现",1
11,"achievement","成就",2
12,"acknowledge","承认",1
13,"acquire","获得",2
14,"active","积极",1
15,"adequate","充足的",2
16,"administrative","行政的",1
17,"admiration","钦佩",1
18,"adopt","采纳",1
19,"advocate","提倡",2
20,"afterward","之后",1
21,"aggregate","总计",1
22,"agreement","同意",1
23,"aim","目标",1
24,"allege","断言",1
25,"alleviate","减轻",1
26,"allocate","分配",1
27,"ally","盟友",2
28,"alternative","选择",1
29,"always","总是",2
30,"ambitious","有雄心的",1
31,"analyze","分析",1
32,"ancestor","祖先",1
33,"ancient","古老的",1
34,"anguish","痛苦",1
35,"anniversary","周年纪念",1
36,"announce","宣布",1
37,"anonymous","匿名的",1
38,"anticipate","预期",1
39,"anxiety","焦虑",1
40,"anxious","焦虑的",1
41,"apparent","明显的",1
42,"apparently","显然地",1
43,"applaud","鼓掌",2
44,"applause","掌声",1
45,"apply","申请",1
46,"appreciate","感激",1
47,"appreciation","欣赏",1
48,"approach","接近",2
49,"approve","批准",1
50,"aptitude","才能",1
51,"architecture","建筑",1
52,"archive","档案",1
53,"arduous","艰巨的",1
54,"argument","论点",1
55,"arise","产生",1
56,"arrange","安排",2
57,"articulate","清晰地表达",1
58,"artificial","人造的",1
59,"ascertain","确定",1
60,"assemble","集合",1
61,"assert","断言",1
62,"assess","评估",1
63,"asset","资产",1
64,"assist","协助",1
65,"associate","联系",1
66,"assurance","保证",1
67,"attach","附上",1
68,"attain","达到",3
69,"attempt","尝试",1
70,"attention","注意",1
71,"attorney","律师",1
72,"audience","观众",2
73,"authentic","真实的",1
74,"avenue","途径",1
75,"await","等待",2
76,"beginning","开始",1
77,"believe","相信",1
78,"benefit","受益",1
79,"brave","勇敢",1
80,"browse","浏览",1
81,"build","建立",1
82,"calculate","计算",1
83,"calm","平静",1
84,"calmly","平静地",1
85,"capacity","能力",1
86,"capture","吸引",1
87,"careful","小心",2
88,"celebrate","庆祝",1
89,"ceremony","仪式",1
90,"certificate","证书",1
91,"charity","慈善",1
92,"combat","战斗",1
93,"commence","开始",1
94,"commitment","承诺",1
95,"compelling","引人注目的",1
96,"confident","自信",1
97,"considerable","相当大的",2
98,"continue","继续",2
99,"contribute","贡献",1
100,"conviction","信念",1
101,"corporate","公司的",1
102,"countless","无数的",1
103,"courage","勇气",1
