故事46: 穿越逆袭_凤临天下 - 词汇表

序号,词汇,中文释义,出现次数
1,"achieve","成就",1
2,"active","积极地",2
3,"adjust","调整",1
4,"adventure","冒险",1
5,"alert","警惕的",1
6,"always","总是",2
7,"analyze","分析",1
8,"atmosphere","氛围",1
9,"background","背景",1
10,"behavior","行为",1
11,"brilliant","才华横溢的",1
12,"calm","平静的",1
13,"calmly","冷静地",1
14,"capability","能力",1
15,"carefully","仔细地",1
16,"cautious","谨慎的",1
17,"challenge","挑战",1
18,"compete","竞争",1
19,"complicated","复杂的",1
20,"continuous","持续的",1
21,"courage","勇气",1
22,"crisis","危机",2
23,"critical","关键的",1
24,"danger","危险",1
25,"destiny","命运",1
26,"destroy","破坏",1
27,"difficult","困难的",1
28,"elegant","优雅的",1
29,"encourage","鼓励",1
30,"enemy","敌人",1
31,"experience","经历",1
32,"extraordinary","非凡的",1
33,"favor","宠爱之人",1
34,"finally","终于",1
35,"identity","身份",1
36,"influence","有影响力的人",1
37,"intelligent","聪明的",1
38,"jealous","嫉妒的",1
39,"key","关键",1
40,"legend","传奇",1
41,"luxurious","奢华的",1
42,"magnificent","宏伟的",1
43,"miracle","奇迹",1
44,"mysterious","神秘的",1
45,"nervous","紧张的",1
46,"network","网络",1
47,"never","从不",1
48,"noble","高尚的",1
49,"observe","观察",1
50,"obstacle","障碍",1
51,"occasion","场合",1
52,"opportunity","机会",1
53,"outstanding","杰出的",1
54,"overcome","克服",1
55,"patient","耐心",1
56,"patiently","耐心地",1
57,"politics","政治",1
58,"prosperous","繁荣的",1
59,"question","问题",1
60,"rational","理性的",1
61,"reform","改革",1
62,"relationship","关系",1
63,"reputation","声誉",1
64,"respect","尊重",1
65,"rule","统治",1
66,"ruthless","无情的",1
67,"scheme","策划",1
68,"secretly","秘密地",1
69,"share","分享",1
70,"shocked","震惊的",1
71,"significant","重要的",1
72,"sincerely","真诚地",1
73,"spend","花费",1
74,"splendid","辉煌的",1
75,"status","地位",1
76,"strategy","策略",1
77,"strong","坚强",1
78,"struggle","奋斗",1
79,"support","支持",1
80,"survive","生存",1
81,"unexpected","意想不到的",1
82,"wisdom","智慧",1
83,"wisely","明智地",1

统计信息
词汇总数,83个
总出现次数,86次
