故事61: 女强人_商海沉浮 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"alertly","警惕地",1
3,"alliance","联盟",1
4,"always","总是",1
5,"ambitious","雄心勃勃",1
6,"angry","愤怒",1
7,"anonymous","匿名",1
8,"approach","接近",1
9,"arrest","逮捕",1
10,"benchmark","标杆",1
11,"betray","背叛",1
12,"bomb","炸弹",1
13,"brave","勇敢",1
14,"burning","燃烧",1
15,"calm","平静",1
16,"calmly","平静地",1
17,"campaign","战役",1
18,"careful","小心",1
19,"charity","慈善",1
20,"cold","冰冷",1
21,"collect","收集",1
22,"confident","自信",1
23,"conflict","冲突",1
24,"conspire","密谋",1
25,"criminal","犯罪",1
26,"crisis","危机",1
27,"crucial","关键",2
28,"cruel","残酷",1
29,"deliberately","故意",1
30,"detail","细节",1
31,"determined","坚定",1
32,"disguise","伪装",1
33,"dynamic","动态",1
34,"elegant","优雅",1
35,"embezzle","挪用",1
36,"encourage","鼓励",1
37,"enthusiastic","热情",1
38,"ethics","伦理",1
39,"example","榜样",1
40,"expand","扩张",1
41,"finally","终于",1
42,"firmly","坚决",1
43,"foundation","根基",1
44,"glorious","辉煌",1
45,"growth","成长",1
46,"help","帮助",1
47,"hope","希望",1
48,"humble","谦逊",1
49,"impressive","深刻",1
50,"innocent","天真",2
51,"insight","见解",1
52,"inspire","启发",1
53,"intelligence","情报",1
54,"intermediary","中间人",1
55,"legal","法律",1
56,"legend","传奇",1
57,"luxurious","奢华",1
58,"monopolize","垄断",1
59,"nervous","紧张",1
60,"observe","观察",1
61,"obsess","痴迷",1
62,"orchestrate","策划",1
63,"participate","参与",1
64,"patience","耐心",1
65,"patient","耐心",1
66,"plan","计划",1
67,"plummet","暴跌",1
68,"preliminary","初步",1
69,"prevail","获胜",2
70,"recall","回忆",1
71,"recruit","招募",1
72,"redemption","救赎",1
73,"regularly","定期",1
74,"relief","释然",1
75,"respect","尊重",1
76,"rumor","谣言",1
77,"secret","暗中",2
78,"sensational","轰动",1
79,"sensitive","敏感",1
80,"share","分享",1
81,"sharp","敏锐",1
82,"sincere","真诚",1
83,"smart","聪明",1
84,"smoothly","顺利",1
85,"spend","花费",1
86,"spread","散布",1
87,"steady","沉稳",1
88,"stern","严厉",1
89,"strategy","策略",1
90,"strength","力量",1
91,"successful","成功",1
92,"supplier","供应商",1
93,"supply","供应",1
94,"surveillance","监控",1
95,"suspicion","怀疑",1
96,"sweat","冒汗",1
97,"talent","人才",1
98,"threaten","威胁",1
99,"transfer","转移",1
100,"trend","趋势",1
101,"ultimate","最终",1
102,"wisdom","智慧",1
103,"worried","担忧",1

统计信息
词汇总数,103个
总出现次数,107次
