故事5: 职场逆袭_从实习生到总监_新人入职 - 词汇表

序号,词汇,中文释义,出现次数
1,"academic","学术的",1
2,"accept","接纳",1
3,"accumulate","积累",1
4,"adapt","适应",1
5,"ambition","抱负",1
6,"applicant","申请人",1
7,"application","申请",1
8,"assignment","任务",1
9,"atmosphere","气氛",1
10,"attentive","专注的",1
11,"attitude","态度",1
12,"calm","冷静",1
13,"campus","校园",1
14,"capability","能力",1
15,"career","职业发展",1
16,"challenge","挑战",1
17,"collaborate","协作",1
18,"colleague","同事",1
19,"commercial","商业",1
20,"commitment","承诺",1
21,"communicate","沟通",1
22,"competent","有能力的",1
23,"comprehensive","综合的",1
24,"contrast","差异",1
25,"contribute","贡献",1
26,"cooperate","合作",1
27,"coordinate","协调",1
28,"culture","文化",1
29,"deadline","截止日期",1
30,"deliver","交付",1
31,"demonstrate","展示",1
32,"diploma","毕业证书",1
33,"diverse","多样的",1
34,"document","文件",1
35,"efficient","高效的",1
36,"effort","努力",1
37,"enhance","提升",1
38,"environment","环境",1
39,"evaluate","评估",1
40,"experience","经验",1
41,"feedback","反馈",1
42,"guidance","指导",1
43,"guide","指引",1
44,"horizon","视野",1
45,"impress","给...留下深刻印象",1
46,"improvement","改进",1
47,"information","信息",1
48,"initiative","主动性",1
49,"insight","洞察力",1
50,"integrate","融入",1
51,"intern","实习生",1
52,"interview","面试",1
53,"introduce","介绍",1
54,"key","关键",1
55,"learn","学习",1
56,"nervous","紧张",1
57,"observe","观察",1
58,"offer","录用通知",1
59,"opportunity","机会",1
60,"organize","整理",1
61,"overcome","克服",1
62,"persistence","坚持",1
63,"position","职位",1
64,"potential","潜力",1
65,"practical","实践的",1
66,"pressure","压力",2
67,"probation","试用期",1
68,"procedure","手续",1
69,"profession","职业",1
70,"professional","专业的",1
71,"progress","进度",1
72,"qualification","资格",1
73,"recruit","招聘",1
74,"regulation","规章",1
75,"relationship","关系",1
76,"responsibility","责任",1
77,"resume","简历",1
78,"rhythm","节奏",1
79,"seat","座位",1
80,"shock","震撼",1
81,"skill","技能",1
82,"study","学习",1
83,"sunlight","阳光",1
84,"supply","供应品",1
85,"task","任务",1
86,"uncertainty","不确定",1
87,"value","价值",1
88,"welfare","福利",1

统计信息
词汇总数,88个
总出现次数,89次
