序号	单词	音标	词性（中文）	中文释义	出现次数	首次出现故事	例句
1	abandon	/əˈbæn.dən/	verb	放弃	4	1	林若雪是林家的eldest(最年长的)女儿，刚从海外obtain(获得)MBA学位归来。虽然她拥有academic(学术的)知识，但在商界practical(实践的)经验尚浅。面对这urgent(紧急的)局面，她不得不abandon(放弃)原本的leisure(悠闲)生活，assume(承担)起拯救...
2	academic	/ˌækəˈdɛmɪk/	noun, adjective	学术的	5	1	林若雪是林家的eldest(最年长的)女儿，刚从海外obtain(获得)MBA学位归来。虽然她拥有academic(学术的)知识，但在商界practical(实践的)经验尚浅。面对这urgent(紧急的)局面，她不得不abandon(放弃)原本的leisure(悠闲)生活，assume(承担)起拯救...
3	accept	/ækˈsɛpt/	verb, adjective	接受	10	1	沈墨尘是沈氏集团的chief(主要的)执行官，商界公认的prominent(杰出的)人物。他年仅三十二岁就已经accumulate(积累)了enormous(巨大的)财富，possess(拥有)着extraordinary(非凡的)商业talent(才能)。他为人冷傲，从不轻易accept(接受)任...
4	accumulate	/əˈkjuːmjʊˌleɪt/	verb, adjective	积累	7	1	沈墨尘是沈氏集团的chief(主要的)执行官，商界公认的prominent(杰出的)人物。他年仅三十二岁就已经accumulate(积累)了enormous(巨大的)财富，possess(拥有)着extraordinary(非凡的)商业talent(才能)。他为人冷傲，从不轻易accept(接受)任...
5	acquaintance	/əˈkweɪntəns/	noun	熟人	2	1	为了挽救家族事业，林若雪不得不接受一个critical(关键的)决定——与沈氏集团签订契约。这是一场bold(大胆的)的gamble(赌注)，但她已经没有其他alternative(选择)。她通过父亲的acquaintance(熟人)关系，终于arrange(安排)了一次与沈墨尘的appointme...
6	acquire	/əˈkwaɪə/	verb	收购	6	1	竞争对手王氏集团grasp(抓住)住这个机会，发动了猛烈的商业assault(攻击)。他们launch(发起)了一系列aggressive(激进的)的市场strategy(策略)，试图acquire(收购)林氏集团的asset(资产)。银行也开始pressure(施压)，要求repay(偿还)到期的...
7	adapt	/əˈdæpt/	verb, adjective	适应	19	1	契约签订后，林若雪正式进入沈氏集团work(工作)。她被安排在战略发展部门，担任senior(高级的)manager(经理)，负责市场research(研究)和项目策划。这是一个challenging(有挑战性的)的职位，需要她快速adapt(适应)新的工作环境。
8	aggressive	/əˈɡɹɛs.ɪv/	adjective	激进的	3	1	竞争对手王氏集团grasp(抓住)住这个机会，发动了猛烈的商业assault(攻击)。他们launch(发起)了一系列aggressive(激进的)的市场strategy(策略)，试图acquire(收购)林氏集团的asset(资产)。银行也开始pressure(施压)，要求repay(偿还)到期的...
9	alternate		noun, verb, adjective	交替	1	1	他开始suspect(怀疑)，契约也许不只是商业交易。夜深了，活动结束。沈墨尘开车送林若雪home(回家)。车内气氛安静，只有音乐gentle(柔和的)流淌。窗外的路灯alternate(交替)闪过，车内atmosphere(气氛)变得微妙。
10	alternative	/ɒl.ˈtɜː(ɹ).nə.tɪv/	noun, adjective	选择	3	1	为了挽救家族事业，林若雪不得不接受一个critical(关键的)决定——与沈氏集团签订契约。这是一场bold(大胆的)的gamble(赌注)，但她已经没有其他alternative(选择)。她通过父亲的acquaintance(熟人)关系，终于arrange(安排)了一次与沈墨尘的appointme...
