故事70: 闪婚甜蜜_幸福生活 - 词汇表

序号,词汇,中文释义,出现次数
1,"abrupt","突然",1
2,"absolute","绝对",1
3,"accident","意外",1
4,"adapt","适应",1
5,"anxiety","焦虑",1
6,"apologize","歉意",1
7,"appreciate","欣赏",1
8,"approachable","平易近人",1
9,"arrange","安排",1
10,"basically","基本",1
11,"bloom","绽放",2
12,"bright","灿烂",1
13,"burden","负担",1
14,"calm","平静",1
15,"cancel","取消",1
16,"careful","仔细",1
17,"casual","休闲",1
18,"cautious","谨慎",1
19,"coincidence","巧合",1
20,"complex","复杂",1
21,"concern","关心",1
22,"concise","简洁",1
23,"condition","条件",1
24,"confused","困惑",1
25,"considerate","体贴",1
26,"contact","联系",1
27,"courage","勇气",1
28,"crisis","危机",1
29,"daily","日常",1
30,"decision","决定",1
31,"declare","宣布",1
32,"despair","绝望",1
33,"detail","细节",1
34,"determine","下定决心",1
35,"discover","发现",2
36,"dramatic","戏剧性的",1
37,"elegant","优雅",1
38,"emotion","情感",1
39,"encourage","鼓励",1
40,"exhausted","疲惫",1
41,"expect","期待",2
42,"favorable","有利",1
43,"firm","坚定",1
44,"formal","正式",1
45,"generous","慷慨",1
46,"gentle","温柔",1
47,"gift","礼物",1
48,"graceful","优雅",1
49,"gradual","逐渐",2
50,"hope","希望",1
51,"ideal","理想",1
52,"illuminate","照亮",1
53,"imagine","想象",1
54,"indifferent","冷漠",1
55,"invest","投资",1
56,"lack","缺乏",1
57,"legend","传奇",1
58,"luxurious","奢华",1
59,"maintain","保持",1
60,"manage","经营",1
61,"marriage","婚姻",1
62,"measure","测量",1
63,"mind","介意",1
64,"nervous","紧张",1
65,"notice","注意",1
66,"observe","观察",1
67,"obvious","明显",1
68,"order","有序",1
69,"organize","整理",1
70,"patient","耐心",1
71,"persist","坚持",1
72,"polite","礼貌",1
73,"precious","珍贵的",1
74,"propose","提议",1
75,"pursue","追求",1
76,"rare","罕见",1
77,"rarely","很少",1
78,"rationality","理智",1
79,"realize","意识到",2
80,"recall","回忆",1
81,"reflect","反思",1
82,"relax","放松",1
83,"satisfy","满足",2
84,"serious","严重",1
85,"slender","纤细",1
86,"slight","略微",1
87,"strong","有力",1
88,"substance","实质",1
89,"subtle","微妙",1
90,"sudden","突然的",1
91,"suffer","患上",1
92,"surprise","惊讶",1
93,"temporary","临时的",1
94,"tidy","整洁",1
95,"tiny","微小",1
96,"tolerant","包容",1
97,"touched","感动",1
98,"tremendous","巨大的",1
99,"uncontrollable","无法控制",1
100,"understand","理解",2
101,"warm","温暖",1

统计信息
词汇总数,101个
总出现次数,108次
