故事4: 重生之商业女王_商业布局 - 词汇表

序号,词汇,中文释义,出现次数
1,"accurate","准确的",1
2,"achieve","实现",1
3,"adjust","调整",1
4,"advance","提前",1
5,"allocate","分配",1
6,"ambitious","有雄心的",1
7,"analyze","分析",1
8,"anticipate","预料",1
9,"anxious","焦虑",1
10,"asset","资产",1
11,"barrier","障碍",1
12,"blueprint","蓝图",1
13,"brainstorm","头脑风暴",1
14,"breakthrough","突破",1
15,"brilliant","出色的",1
16,"capability","能力",1
17,"capital","资金",1
18,"carefully","精心",1
19,"collaborate","合作",1
20,"collaboration","合作",1
21,"compare","比较",1
22,"competitive","竞争的",1
23,"competitor","竞争对手",1
24,"consumer","消费者",1
25,"contact","联系",1
26,"contest","竞争",1
27,"cooperate","合作",1
28,"core","核心",1
29,"correct","正确",1
30,"coverage","覆盖",1
31,"creative","创造性的",1
32,"database","数据库",1
33,"dawn","黎明",1
34,"development","发展",1
35,"discussion","讨论",1
36,"distinct","独特的",2
37,"dominate","主导",1
38,"efficient","高效的",1
39,"enthusiastic","热情",1
40,"essence","本质",1
41,"essential","必要的",1
42,"establish","建立",1
43,"evaluation","评估",1
44,"excellent","卓越",1
45,"execute","执行",1
46,"experience","体验",1
47,"expert","专家",1
48,"flexible","灵活的",1
49,"flow","流量",1
50,"forecast","预测",1
51,"formulate","制定",1
52,"foundation","基础",1
53,"fundamental","根本的",1
54,"hostile","敌对的",1
55,"imitate","模仿",1
56,"index","指标",1
57,"influence","影响力",1
58,"innovation","创新",2
59,"insight","洞察力",1
60,"intellectual","知识产权",1
61,"intensive","密集的",2
62,"invest","投资",1
63,"investigate","调查",1
64,"journey","旅程",1
65,"leader","领导者",1
66,"loyalty","忠诚度",2
67,"maximize","最大化",1
68,"measure","衡量",1
69,"monitor","监控",1
70,"mutual","相互的",1
71,"network","人脉网络",1
72,"obstacle","障碍",1
73,"opportunity","机会",2
74,"organize","整理",1
75,"partnership","合作伙伴关系",1
76,"patience","耐心",1
77,"phenomenon","现象",1
78,"position","定位",1
79,"potential","潜能",2
80,"premium","优质的",1
81,"prioritize","优先",1
82,"procedure","过程",1
83,"product","产品",1
84,"professional","专业人士",1
85,"progress","进展",1
86,"promote","推进",1
87,"prospect","前景",1
88,"prototype","原型",1
89,"quality","品质",1
90,"rational","理性的",1
91,"recognize","认可",1
92,"reflect","反映",1
93,"reliable","可靠性",1
94,"reputation","知名度",1
95,"research","研究",1
96,"resource","资源",1
97,"resume","简历",1
98,"rigorous","严格的",1
99,"sale","销售",1
100,"secure","安全",1
101,"service","服务",1
102,"share","份额",1
103,"soothe","安抚",1
104,"specific","明确的",1
105,"stable","稳定",2
106,"stimulate","激发",1
107,"strategic","战略性的",1
108,"strategy","策略",1
109,"struggle","奋斗",1
110,"sufficient","充分的",1
111,"support","支持",1
112,"survive","生存",1
113,"sustain","持续",1
114,"synergy","协同效应",1
115,"talent","人才",1
116,"technology","技术",1
117,"transformation","转型",1
118,"transparent","透明的",1
119,"treasure","财富",1
120,"trend","趋势",1
121,"trial","试",1
122,"unique","独特的",1
123,"variety","多样",1
124,"verify","验证",2
125,"vision","愿景",2
126,"wealth","财富",1
127,"wisdom","智慧",1

统计信息
词汇总数,127个
总出现次数,136次
