故事17: 追妻火葬场_悔婚之后 - 词汇表

序号,词汇,中文释义,出现次数
1,"always","总是",2
2,"announce","宣布",1
3,"anticipate","期待",1
4,"apologize","道歉",1
5,"applaud","响起掌声",1
6,"arrogant","傲慢",2
7,"ask","问",1
8,"betray","背叛",1
9,"build","建立",1
10,"care","关心",1
11,"cherish","珍惜",1
12,"cold","冰冷",2
13,"collapse","崩塌",1
14,"concentrate","集中",1
15,"confront","面对",1
16,"correct","纠正",1
17,"create","创造",1
18,"critical","关键",1
19,"cut","切断",1
20,"despair","绝望",1
21,"determine","决心",1
22,"determined","坚定",1
23,"devote","奉献",1
24,"distant","疏远",1
25,"emotion","情感",1
26,"encourage","鼓励",1
27,"equality","平等",1
28,"finally","终于",1
29,"firmly","坚定地",1
30,"forgive","原谅",1
31,"fulfill","充实",1
32,"genuinely","真正地",1
33,"guilt","愧疚",1
34,"happy","幸福",1
35,"helpless","无助",1
36,"honest","诚实地",1
37,"humiliate","羞辱",1
38,"ignore","忽视",1
39,"immediately","立刻",1
40,"improve","改进",1
41,"impulsive","冲动",2
42,"inspire","启发",1
43,"investigate","调查",1
44,"knock","敲",1
45,"legend","传奇",1
46,"listen","倾听",1
47,"miracle","奇迹",1
48,"mistake","错误",1
49,"moved","感动",1
50,"nervous","紧张",1
51,"never","从不",1
52,"painful","痛苦",1
53,"panicked","恐慌",1
54,"patient","耐心",2
55,"peaceful","宁静",1
56,"plead","恳求",1
57,"pride","骄傲",1
58,"promise","承诺",2
59,"protect","保护",1
60,"prove","证明",2
61,"pursue","追求",1
62,"recall","回忆",1
63,"reflect","反思",1
64,"regret","后悔",2
65,"respect","尊重",2
66,"return","回来",1
67,"rush","匆忙",1
68,"selfish","自私",1
69,"sincere","真诚",4
70,"sit","坐",1
71,"slowly","慢慢",1
72,"spend","花费",1
73,"successful","成功",1
74,"surprised","惊讶",1
75,"sweet","甜蜜",1
76,"terrible","彻底",1
77,"thin","消瘦",1
78,"tired","疲惫",1
79,"torture","折磨",1
80,"trust","信任",2
81,"undo","撤销",1
82,"wedding","婚礼",1

统计信息
词汇总数,82个
总出现次数,95次
