故事83: 温馨之家_室内设计 - 词汇表

序号,词汇,中文释义,出现次数
1,"accurate","精确",1
2,"achieve","成就",1
3,"always","总是",2
4,"believe","相信",1
5,"breakthrough","突破",1
6,"busy","忙碌",1
7,"careful","仔细",2
8,"choose","选择",1
9,"clever","巧妙",1
10,"comfortable","舒适",1
11,"confident","自信",1
12,"continue","继续",1
13,"create","创作",3
14,"devotion","奉献",1
15,"difficulty","难题",1
16,"early","早早",1
17,"encourage","鼓励",1
18,"excited","激动",1
19,"express","表达者",1
20,"fascinate","着迷",1
21,"final","最终",1
22,"finally","终于",1
23,"focus","专注",1
24,"gentle","柔和",1
25,"harmonious","和谐",1
26,"humbly","谦逊地",1
27,"innovate","创新",1
28,"inspire","启发",1
29,"intense","紧张",1
30,"mark","标记",1
31,"meticulous","细致",1
32,"nervous","紧张",1
33,"never","从不",1
34,"origin","初衷",1
35,"passion","热情",2
36,"patience","耐心",1
37,"patient","耐心",1
38,"perfectly","完美",1
39,"professional","专业",1
40,"proud","自豪",1
41,"reasonable","合理",1
42,"relief","欣慰",2
43,"report","汇报",1
44,"respect","尊重",1
45,"satisfaction","满足",1
46,"scrutinize","推敲",1
47,"share","分享",1
48,"significance","意义",1
49,"spend","花费",1
50,"successful","成功",1
51,"try","尝试",1
52,"understanding","理解",1
53,"value","价值",1
54,"warm","温暖",2
55,"wisdom","智慧",1
56,"worried","担忧",1

统计信息
词汇总数,56个
总出现次数,63次
