故事29: 情敌出现_爱情争夺 - 词汇表

序号,词汇,中文释义,出现次数
1,"accidentally","意外",1
2,"active","积极",1
3,"allowance","零花钱",1
4,"always","总是",2
5,"applaud","鼓掌",1
6,"autumn","秋天",1
7,"background","背景",1
8,"battle","战役",1
9,"build","建立",1
10,"care","关心",1
11,"careful","仔细",1
12,"chance","机会",1
13,"compare","比较",1
14,"competition","竞争",1
15,"confidence","自信",1
16,"courage","勇气",1
17,"create","创造",1
18,"determine","决心",1
19,"determined","坚定",1
20,"devote","奉献",1
21,"difficulty","困难",1
22,"encourage","鼓励",1
23,"end","结束",1
24,"expensive","昂贵",1
25,"fact","事实",1
26,"finally","终于",1
27,"firm","坚定",1
28,"firmly","坚定地",1
29,"frustrated","沮丧",1
30,"gentle","温柔",1
31,"gradually","逐渐",1
32,"handsome","英俊",1
33,"handwritten","手写",1
34,"hold","屏住",1
35,"hope","希望",1
36,"hopeful","充满希望",1
37,"inspire","启发",1
38,"investigate","调查",1
39,"literature","文学",1
40,"love","爱",2
41,"need","需求",1
42,"nervous","紧张",2
43,"never","从不",2
44,"observe","观察",1
45,"opportunity","机会",1
46,"patient","耐心",1
47,"perfect","完美",1
48,"plan","计划",1
49,"prepare","准备",2
50,"pressure","压力",1
51,"promise","承诺",1
52,"real","真实",1
53,"recall","回忆",1
54,"remember","记住",1
55,"respect","尊重",1
56,"rival","情敌",1
57,"scene","场景",1
58,"secret","暗恋",1
59,"share","分享",1
60,"shy","害羞",2
61,"sincere","真诚",2
62,"smile","笑容",2
63,"successful","成功",1
64,"support","支持",1
65,"surprised","惊讶",2
66,"together","在一起",1
67,"transfer","转学",1
68,"understand","理解",1
69,"vibrant","生机勃勃",1
70,"walk","漫步",1
71,"wealthy","富裕",1
72,"worried","担忧",1

统计信息
词汇总数,72个
总出现次数,81次
