故事14: 那年夏天_暗恋心事 - 词汇表

序号,词汇,中文释义,出现次数
1,"accelerate","加速",1
2,"active","积极",1
3,"advantage","优势",1
4,"always","总是",2
5,"applaud","响起掌声",1
6,"approach","走近",1
7,"atmosphere","氛围",1
8,"balance","平衡",1
9,"bitter","苦涩",2
10,"break","打破",1
11,"build","建立",1
12,"cherish","珍惜",1
13,"compete","竞争",2
14,"contradict","矛盾",1
15,"courage","勇气",2
16,"create","创造",1
17,"depress","沮丧",1
18,"determine","决心",1
19,"determined","坚定",1
20,"devote","奉献",1
21,"difficult","困难",1
22,"disappointed","失望",1
23,"elegance","优雅",1
24,"emotion","情感",2
25,"encourage","鼓励",1
26,"end","结束",1
27,"expect","期望",1
28,"fear","恐惧",1
29,"finally","终于",1
30,"firmly","坚定地",2
31,"frustrate","挫败",1
32,"fulfill","充实",1
33,"gentle","温柔",1
34,"happiness","幸福",1
35,"happy","幸福",1
36,"hide","隐藏",1
37,"hold","屏住",1
38,"hope","期盼",1
39,"hopeful","充满希望",1
40,"inspire","启发",1
41,"journey","旅程",1
42,"joy","喜悦",1
43,"legend","传奇",1
44,"melt","融化",1
45,"memory","记忆",1
46,"murmur","低语",1
47,"nervous","紧张",1
48,"never","从不",1
49,"observation","观察",1
50,"observe","观察",1
51,"ordinary","普通",1
52,"patient","耐心",1
53,"plan","规划",1
54,"practice","练习",1
55,"prepare","准备",1
56,"promise","承诺",1
57,"reputation","声誉",1
58,"respect","尊重",1
59,"romantic","浪漫",1
60,"share","分享",1
61,"shy","羞涩",3
62,"sincere","真诚",1
63,"smile","微笑",1
64,"soft","轻柔",1
65,"straighten","挺直",1
66,"successful","成功",1
67,"support","支持",1
68,"surprised","惊讶",2
69,"sweet","甜蜜",3
70,"together","在一起",1
71,"vibrant","生机勃勃",1
72,"vitality","活力",1
73,"wait","等待",1
74,"walk","漫步",1
75,"witness","见证",1

统计信息
词汇总数,75个
总出现次数,86次
