故事45: 契约真爱_假戏真做 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",1
3,"arrange","安排",1
4,"blossom","萌芽",1
5,"business","商业",1
6,"careful","仔细",1
7,"challenge","挑战",1
8,"close","靠近",1
9,"coffee","咖啡",1
10,"cold","冷淡",1
11,"comfortable","舒适",1
12,"complete","完成",1
13,"confuse","困惑",1
14,"confused","困惑",1
15,"control","控制",1
16,"crisis","危机",1
17,"curious","好奇",1
18,"danger","危险",1
19,"elite","精英",1
20,"encourage","鼓励",1
21,"famous","著名",1
22,"favorite","喜爱",1
23,"flash","闪婚",1
24,"gentle","温柔",1
25,"happily","幸福地",1
26,"happy","开心",1
27,"hope","希望",1
28,"legend","传奇",1
29,"luxurious","豪华",1
30,"maintain","保持",1
31,"marriage","婚姻",2
32,"modern","现代",1
33,"move","感动",1
34,"nervous","紧张",3
35,"observe","观察",1
36,"organize","整理",1
37,"patient","耐心",1
38,"polite","礼貌",1
39,"rationality","理智",1
40,"real","真实",1
41,"remind","提醒",2
42,"respect","尊重",1
43,"romantic","浪漫",1
44,"share","分享",1
45,"spacious","宽敞",1
46,"spend","花费",1
47,"stabilize","稳定",1
48,"strange","异样",1
49,"successful","成功",1
50,"suitable","合适",1
51,"support","支持",2
52,"surprise","惊讶",1
53,"touched","感动",1
54,"try","尝试",1
55,"urgent","紧急",1
56,"voice","声音",1

统计信息
词汇总数,56个
总出现次数,61次
