故事16: 千金归来_重生复仇 - 词汇表

序号,词汇,中文释义,出现次数
1,"abundant","充足的",1
2,"accumulate","积累",1
3,"active","积极",1
4,"adopt","采用",1
5,"alert","警惕",1
6,"always","总是",2
7,"applaud","响起掌声",2
8,"approach","接近",1
9,"arduous","艰难",2
10,"arrogant","傲慢",1
11,"assemble","收集",1
12,"assistance","援助",1
13,"betray","背叛",1
14,"brave","勇敢",1
15,"breakthrough","突破口",1
16,"bribe","贿赂",1
17,"build","建立",1
18,"burning","燃烧",1
19,"calm","平静",1
20,"calmly","平静地",1
21,"cautious","谨慎",1
22,"chaos","混乱",1
23,"collapse","崩塌",1
24,"compensate","补偿",1
25,"conceal","隐藏",1
26,"confident","自信",1
27,"conspire","密谋",1
28,"contemplate","深思",1
29,"continue","继续",1
30,"contribute","贡献",1
31,"courage","勇气",1
32,"crucial","关键",1
33,"cruel","残酷",1
34,"deny","否认",1
35,"deprive","剥夺",1
36,"detain","拘留",1
37,"determine","决心",1
38,"devote","奉献",1
39,"disguise","伪装",1
40,"due","应得的",1
41,"elegant","优雅",1
42,"encourage","鼓励",1
43,"enormous","庞大的",1
44,"evade","逃避",1
45,"evidence","证据",1
46,"expose","揭露",1
47,"extensive","广泛的",1
48,"fabricate","捏造",1
49,"fair","公平",1
50,"false","虚假的",1
51,"firmly","坚定地",1
52,"foundation","基金会",1
53,"fraud","欺诈",1
54,"fulfill","充实",1
55,"gala","晚会",1
56,"grand","盛大",1
57,"gratified","欣慰",1
58,"heir","继承人",1
59,"help","帮助",2
60,"hinder","阻碍",1
61,"hope","希望",1
62,"identity","身份",1
63,"impeccable","无懈可击的",1
64,"innocently","天真地",1
65,"inspire","启发",2
66,"investor","投资人",1
67,"justice","正义",1
68,"keenly","敏锐地",1
69,"legend","传奇",1
70,"luxurious","奢华",1
71,"manipulate","操控",1
72,"mansion","别墅",1
73,"mark","标记",1
74,"meticulously","细致地",1
75,"negotiate","谈判",1
76,"nervous","紧张",1
77,"never","从不",1
78,"opportunity","机会",1
79,"organize","组织",1
80,"ostentatious","炫耀",1
81,"outline","勾勒",1
82,"patience","耐心",1
83,"patient","耐心",1
84,"penetrate","渗透",1
85,"perceive","察觉",1
86,"perfect","完美",1
87,"ponder","思索",1
88,"prevail","获胜",1
89,"professional","专业",1
90,"promise","承诺",1
91,"proud","自豪",2
92,"proudly","自豪地",1
93,"punish","惩罚",1
94,"pursue","追求",1
95,"rational","理性的",1
96,"record","记录",1
97,"recover","追回",1
98,"relief","释然",1
99,"replay","重演",1
100,"respect","尊重",1
101,"responsibility","责任",1
102,"share","分享",1
103,"solid","坚实的",1
104,"spend","花费",1
105,"substantial","可观的",1
106,"subtle","巧妙",1
107,"successful","成功",1
108,"supervise","监督",1
109,"suspect","怀疑",1
110,"suspicious","可疑的",1
111,"systematically","系统地",1
112,"thorough","彻底",1
113,"transform","转化",1
114,"trap","陷阱",1
115,"treacherous","阴险的",1
116,"utilize","利用",1
117,"vindicate","洗清",1
118,"vividly","清晰地",1
119,"wisdom","智慧",2
120,"worried","担忧",1

统计信息
词汇总数,120个
总出现次数,127次
