故事39: 误打误撞_破镜重圆 - 词汇表

序号,词汇,中文释义,出现次数
1,"accept","接受",1
2,"accomplished","成功",1
3,"alma","母校",1
4,"alone","单独",1
5,"alternative","替代",1
6,"alumni","校友",1
7,"answer","答案",1
8,"architect","建筑师",1
9,"awkward","尴尬",1
10,"bridesmaid","伴娘",1
11,"busy","忙碌",1
12,"calm","平静",1
13,"chapter","篇章",1
14,"cherish","珍惜",1
15,"city","城市",1
16,"complex","复杂的",1
17,"confident","自信",1
18,"construction","施工",2
19,"conversation","交谈",1
20,"coordinate","协调",1
21,"crumble","崩溃",1
22,"delay","延误",1
23,"design","设计",2
24,"designer","设计师",2
25,"despair","绝望",1
26,"distinguished","杰出",1
27,"embrace","拥抱",1
28,"emotion","感情",2
29,"explanation","解释",1
30,"exquisite","精致",1
31,"familiar","熟悉",1
32,"finally","终于",1
33,"firm","坚定",2
34,"first","第一次",2
35,"flow","流下",1
36,"formulate","制定",1
37,"gentle","温柔",2
38,"girl","女孩",1
39,"hall","礼堂",1
40,"helpless","无助",1
41,"hesitate","犹豫",1
42,"identity","身份",1
43,"impulsive","冲动",1
44,"industry","业内",1
45,"innocent","天真",1
46,"instant","瞬间",1
47,"interact","互动",1
48,"interior","室内",1
49,"intimate","亲密",1
50,"ironic","讽刺",1
51,"journey","旅程",1
52,"late","深夜",2
53,"lean","靠",1
54,"leave","离开",1
55,"long","好久",1
56,"material","材料",1
57,"mean","意味着",1
58,"measure","测量",1
59,"memory","记忆",1
60,"misunderstanding","误会",1
61,"month","几个月",1
62,"must","不得不",1
63,"office","办公室",1
64,"one","一天",1
65,"partner","合作伙伴",1
66,"past","往日的",1
67,"persistent","坚持",1
68,"polite","礼貌",1
69,"professional","专业",1
70,"progress","进行",2
71,"project","工程",1
72,"receive","接到",1
73,"recover","走出",1
74,"regret","遗憾",1
75,"relationship","感情",1
76,"release","释怀",1
77,"renovation","翻新",1
78,"renowned","知名",1
79,"respect","尊重",2
80,"senior","高级",1
81,"separate","分离",1
82,"shatter","粉碎",1
83,"shoulder","肩",1
84,"sincere","真诚",1
85,"site","现场",1
86,"slight","轻微",1
87,"smooth","顺利",1
88,"solution","方案",1
89,"sparkle","闪烁",1
90,"step","踏入",1
91,"stiff","僵硬",1
92,"strange","陌生",1
93,"sudden","突然",1
94,"surge","涌来",1
95,"surprise","惊讶",1
96,"tear","泪水",1
97,"telephone","电话",1
98,"tell","告诉",1
99,"tide","潮水",1
100,"together","相处",1
101,"turn","转身",1
102,"two","两个人",1
103,"unexpected","意外",3
104,"well","过得好吗",1
105,"wipe","擦去",1
106,"witness","亲眼看到",1

统计信息
词汇总数,106个
总出现次数,118次
