故事19: 误会重重_破冰之旅 - 词汇表

序号,词汇,中文释义,出现次数
1,"active","积极",1
2,"always","总是",2
3,"applaud","响起掌声",1
4,"argue","争论",1
5,"avoid","避免",1
6,"build","建立",1
7,"calm","平静",1
8,"clear","消除",1
9,"communicate","沟通",1
10,"cooperation","合作",1
11,"create","创造",1
12,"critical","关键",1
13,"deadline","截止日期",1
14,"determine","决心",1
15,"devote","奉献",1
16,"embarrass","尴尬",1
17,"encourage","鼓励",1
18,"enemy","冤家",1
19,"finally","终于",1
20,"firmly","坚定地",1
21,"forced","被迫",1
22,"fulfill","充实",1
23,"gradually","逐渐",1
24,"happy","快乐",1
25,"hostile","敌对",1
26,"ignore","忽视",1
27,"improve","提升",1
28,"inspire","启发",2
29,"moved","感动",1
30,"nervous","紧张",1
31,"never","从不",1
32,"patient","耐心",1
33,"pride","骄傲",1
34,"promise","承诺",1
35,"refuse","拒绝",1
36,"relieved","释然",1
37,"resolve","化解",1
38,"respect","尊重",1
39,"shake","摇头",1
40,"share","分享",1
41,"sincere","真诚",2
42,"slowly","慢慢",1
43,"spend","花费",1
44,"story","故事",1
45,"successful","成功",1
46,"support","支持",1
47,"surprise","惊讶",1
48,"surprised","惊讶",1
49,"testimony","见证",1
50,"vibrant","生机勃勃",1
51,"vitality","活力",1

统计信息
词汇总数,51个
总出现次数,54次
