故事9: 心动信号_咖啡店偶遇 - 词汇表

序号,词汇,中文释义,出现次数
1,"abstract","抽象的",1
2,"accelerate","加速",1
3,"accident","意外",2
4,"acquaint","相识",1
5,"admire","欣赏",1
6,"ambiance","氛围",1
7,"anticipation","期待",1
8,"appreciate","欣赏",1
9,"aroma","香气",1
10,"arrange","安排",1
11,"arrogance","傲慢",1
12,"artificial","虚假",1
13,"attitude","态度",1
14,"attract","吸引",1
15,"attraction","吸引力",1
16,"background","背景",1
17,"bake","烘焙",1
18,"balance","平衡",1
19,"belong","归属感",1
20,"blind","相亲",1
21,"boast","炫耀",1
22,"burden","负担",1
23,"cafe","咖啡店",1
24,"candle","蜡烛",1
25,"career","事业",1
26,"cast","投射",1
27,"casual","休闲",1
28,"challenge","挑战",1
29,"character","品格",1
30,"charm","魅力",2
31,"chemistry","默契",1
32,"claim","声称",1
33,"classic","经典",1
34,"clean","清理",1
35,"coincide","一致",1
36,"coincidence","巧合",2
37,"comfort","舒适",1
38,"compatibility","兼容性",1
39,"compensate","赔偿",1
40,"concentrate","集中",1
41,"concise","简洁",1
42,"confidant","知己",1
43,"connect","连接",1
44,"connection","联系",1
45,"contribute","贡献",1
46,"conversation","对话",1
47,"converse","交谈",1
48,"convey","传达",1
49,"cozy","温馨",1
50,"create","创造",4
51,"criticize","批评",1
52,"curiosity","好奇",1
53,"cushion","靠垫",1
54,"decorate","装饰",1
55,"demonstrate","展现",1
56,"depth","深度",1
57,"describe","描述",1
58,"design","设计",1
59,"destiny","命运",1
60,"disappoint","失望",1
61,"discomfort","不适",1
62,"distant","遥远的",1
63,"elegant","优雅",1
64,"embrace","拥抱",1
65,"emerge","浮现",1
66,"emotion","情感",1
67,"encounter","相遇",1
68,"enthusiasm","热情",1
69,"exchange","交流",1
70,"excuse","借口",1
71,"exhaust","疲惫",1
72,"expect","期望",1
73,"experience","经历",1
74,"explain","解释",1
75,"express","表达",2
76,"exquisite","精致",1
77,"exterior","外观",1
78,"feature","特征",1
79,"feeling","感受",1
80,"flicker","闪烁",1
81,"flip","翻动",1
82,"fly","飞逝",1
83,"focus","关注",1
84,"freedom","自由",1
85,"generous","慷慨的",1
86,"gentle","温柔",1
87,"genuine","真诚的",1
88,"glance","扫视",1
89,"graceful","优雅",1
90,"green","绿色",1
91,"harmony","和谐",1
92,"hesitate","犹豫",1
93,"hobby","兴趣",1
94,"hope","希望",1
95,"ideal","理想",1
96,"ignore","忽视",1
97,"illuminate","照明",1
98,"impression","印象",1
99,"intellect","智力",1
100,"interest","兴趣",1
101,"interior","内部",1
102,"jazz","爵士乐",1
103,"latte","拿铁",1
104,"mellow","醇厚",1
105,"mention","提及",1
106,"movement","动作",1
107,"narcissistic","自恋的",1
108,"observe","观察",1
109,"partner","伴侣",1
110,"pass","流逝",1
111,"peace","宁静",1
112,"pedestrian","行人",1
113,"penetrate","穿透",1
114,"perfunctory","敷衍",1
115,"philosophy","哲学",1
116,"poetry","诗歌",1
117,"possibility","可能性",1
118,"posture","姿态",1
119,"preference","偏好",1
120,"pressure","压力",1
121,"professional","专业人士",1
122,"pursue","追求",1
123,"reaction","反应",1
124,"reflect","反思",1
125,"relief","解脱",1
126,"resonance","共鸣",1
127,"respect","尊重",1
128,"reveal","流露",1
129,"rhythm","节奏",1
130,"romance","浪漫",2
131,"romantic","浪漫",1
132,"share","分享",1
133,"simple","简约",1
134,"sincere","诚挚",1
135,"sky","天空",1
136,"soothe","抚慰",1
137,"sophisticated","成熟的",1
138,"soul","灵魂",1
139,"sound","声音",1
140,"spacious","宽敞",1
141,"spare","业余",1
142,"status","地位",1
143,"steam","热气",1
144,"strange","陌生",1
145,"suffocate","窒息",1
146,"sunlight","阳光",1
147,"technology","科技",1
148,"temperament","气质",1
149,"tolerance","宽容",1
150,"topic","话题",1
151,"tranquility","平静",1
152,"turning","转折点",2
153,"urge","催促",1
154,"value","价值观",1
155,"vanity","虚荣",1
156,"viewpoint","观点",1
157,"vitality","生机",1
158,"warmth","温暖",1
159,"weekend","周末",1
160,"wooden","木制的",1
161,"worth","价值",1

统计信息
词汇总数,161个
总出现次数,170次
