故事76: 穿越成功_逆袭人生 - 词汇表

序号,词汇,中文释义,出现次数
1,"accidental","偶然",1
2,"accompany","陪伴",1
3,"active","积极",1
4,"adapt","适应",2
5,"advanced","先进",1
6,"always","总是",1
7,"analytical","分析",1
8,"anxiety","焦虑",1
9,"bankrupt","破产",1
10,"beautiful","美好",1
11,"blossom","萌芽",1
12,"boundary","界限",1
13,"brilliant","璀璨",1
14,"calm","冷静",1
15,"care","关心",1
16,"careful","仔细",2
17,"challenge","挑战",1
18,"cherish","珍惜",1
19,"close","靠近",1
20,"cold","冷淡",1
21,"collection","收藏",1
22,"completely","完全",1
23,"complex","复杂",1
24,"confused","困惑",1
25,"considerate","体贴",1
26,"control","控制",1
27,"courage","勇气",1
28,"curious","好奇",1
29,"danger","危险",1
30,"define","定义",1
31,"determination","决心",1
32,"difficulty","困难",1
33,"discover","发现",1
34,"elegant","优雅",1
35,"encounter","相遇",2
36,"encourage","鼓励",1
37,"end","结束",1
38,"equip","配备",1
39,"evaluate","评估",1
40,"eventually","最终",1
41,"expectant","期待",1
42,"experience","经历",1
43,"extraordinary","非凡",1
44,"final","最终",1
45,"finally","终于",1
46,"gentle","温柔",1
47,"guard","守护",1
48,"handsome","英俊",1
49,"happily","幸福地",1
50,"hope","希望",1
51,"impress","印象深刻",1
52,"interact","互动",1
53,"legend","传奇",1
54,"maintain","保持",2
55,"manage","经营",1
56,"marriage","婚姻",1
57,"medicine","药品",1
58,"melt","融化",1
59,"modern","现代",1
60,"moved","感动",1
61,"mysterious","神秘",1
62,"negotiate","谈判",1
63,"nervous","紧张",1
64,"observe","观察",2
65,"organize","整理",1
66,"overview","俯瞰",1
67,"participate","参加",1
68,"patient","耐心",1
69,"polite","礼貌",1
70,"proactive","主动",1
71,"professional","专业",1
72,"protect","保护",1
73,"rapid","迅速",1
74,"rational","理智",1
75,"rationality","理智",1
76,"real","真实",1
77,"realize","意识到",1
78,"recall","回忆",1
79,"remind","提醒",1
80,"respect","尊重",1
81,"responsibility","责任",1
82,"return","返回",1
83,"satisfy","满足",1
84,"share","分享",1
85,"situation","局势",1
86,"spacious","宽敞",1
87,"stable","稳定",1
88,"strange","异样",1
89,"strategy","策略",1
90,"struggle","挣扎",1
91,"successful","成功",2
92,"suitable","合适",1
93,"support","支持",2
94,"tiny","微小",1
95,"touched","感动",1
96,"try","尝试",1
97,"uncertainty","不确定性",1
98,"understand","了解",1
99,"violate","违背",1
100,"wisdom","智慧",1

统计信息
词汇总数,100个
总出现次数,107次
