故事28: 步步高升_奋斗之路 - 词汇表

序号,词汇,中文释义,出现次数
1,"ability","能力",1
2,"achieve","成就",2
3,"active","积极",2
4,"always","总是",2
5,"analyze","分析",1
6,"authority","权力",1
7,"brave","勇敢",1
8,"build","建立",2
9,"busy","忙碌",1
10,"calm","冷静",1
11,"career","职场",1
12,"careful","仔细",1
13,"challenge","挑战",1
14,"character","性格",1
15,"choose","选择",1
16,"colleague","同事",1
17,"collect","收集",1
18,"competition","竞争",1
19,"confidence","自信",1
20,"confident","自信",1
21,"continue","继续",1
22,"decision","决策",1
23,"design","设计",1
24,"desk","桌面",1
25,"detail","细节",1
26,"determine","决心",1
27,"determined","坚定",1
28,"devote","奉献",1
29,"difficulty","困难",1
30,"effort","努力",2
31,"encourage","鼓励",1
32,"evening","傍晚",1
33,"excited","激动",1
34,"experience","经验",1
35,"fight","斗志",1
36,"finally","终于",1
37,"firmly","坚定地",1
38,"focus","专注",1
39,"grow","成长",2
40,"help","帮助",1
41,"hope","希望",1
42,"image","形象",1
43,"important","重要",1
44,"improve","提高",1
45,"inspire","启发",1
46,"key","关键",1
47,"leader","领导",1
48,"manager","经理",1
49,"meaningful","有意义",1
50,"mistake","错误",1
51,"modify","修改",1
52,"nervous","紧张",2
53,"never","从不",2
54,"opportunity","机会",1
55,"organize","整理",1
56,"patient","耐心",1
57,"perfectly","完美",1
58,"performance","表现",2
59,"positive","积极",1
60,"praise","赞赏",1
61,"prepare","准备",1
62,"problem","问题",1
63,"professional","专业",2
64,"promise","承诺",1
65,"proud","自豪",1
66,"quick","迅速",1
67,"recognition","认可",1
68,"rehearse","排练",1
69,"relationship","关系",1
70,"remind","提醒",1
71,"report","汇报",1
72,"respect","尊重",1
73,"responsibility","责任",1
74,"share","分享",1
75,"shocked","震惊",1
76,"spend","投入",2
77,"success","成功",1
78,"successful","成功",1
79,"task","任务",1
80,"training","培训",1
81,"work","工作",1

统计信息
词汇总数,81个
总出现次数,92次
